Position,Name + ID,Name,ID,Game,Time,TeamAbbrev,Salary
PF,Michael Foster + 1357746,Michael Foster,1357746,PHI @ BOS,2022-10-18 23:30:00+00:00,PHI,3000.0
C,Paul Reed + 1076238,Paul Reed,1076238,PHI @ BOS,2022-10-18 23:30:00+00:00,PHI,3000.0
SG,Trevelin Queen + 1138673,Trevelin Queen,1138673,PHI @ BOS,2022-10-18 23:30:00+00:00,PHI,3000.0
SF,Charlie Brown + 950955,Charlie Brown,950955,PHI @ BOS,2022-10-18 23:30:00+00:00,PHI,3000.0
SG,Jaden Springer + 1231665,Jaden Springer,1231665,PHI @ BOS,2022-10-18 23:30:00+00:00,PHI,3000.0
C,Charles Bassey + 1138669,Charles Bassey,1138669,PHI @ BOS,2022-10-18 23:30:00+00:00,PHI,3000.0
SG,Julian Champagnie + 1176070,Julian Champagnie,1176070,PHI @ BOS,2022-10-18 23:30:00+00:00,PHI,3000.0
SG,Isaiah Joe + 1134010,Isaiah Joe,1134010,PHI @ BOS,2022-10-18 23:30:00+00:00,PHI,3000.0
SF,Jerome Robinson + 893002,Jerome Robinson,893002,LAL @ GSW,2022-10-19 02:00:00+00:00,GSW,3000.0
SG,Pat Spencer + 1176145,Pat Spencer,1176145,LAL @ GSW,2022-10-19 02:00:00+00:00,GSW,3000.0
PG,Lester Quinones + 1175110,Lester Quinones,1175110,LAL @ GSW,2022-10-19 02:00:00+00:00,GSW,3000.0
PF,Patrick Baldwin Jr. + 1324451,Patrick Baldwin Jr.,1324451,LAL @ GSW,2022-10-19 02:00:00+00:00,GSW,3000.0
PG,Quinndary Weatherspoon + 886418,Quinndary Weatherspoon,886418,LAL @ GSW,2022-10-19 02:00:00+00:00,GSW,3000.0
SG/SF,Moses Moody + 1231366,Moses Moody,1231366,LAL @ GSW,2022-10-19 02:00:00+00:00,GSW,3000.0
PG/SG,Ryan Rollins + 1232221,Ryan Rollins,1232221,LAL @ GSW,2022-10-19 02:00:00+00:00,GSW,3000.0
SG,Dwayne Bacon + 879502,Dwayne Bacon,879502,LAL @ GSW,2022-10-19 02:00:00+00:00,LAL,3000.0
PG/SG,Kendrick Nunn + 741931,Kendrick Nunn,741931,LAL @ GSW,2022-10-19 02:00:00+00:00,LAL,3000.0
SF,Cole Swider + 1138651,Cole Swider,1138651,LAL @ GSW,2022-10-19 02:00:00+00:00,LAL,3000.0
PG,Javante McCoy + 1066434,Javante McCoy,1066434,LAL @ GSW,2022-10-19 02:00:00+00:00,LAL,3000.0
C,Jay Huff + 942843,Jay Huff,942843,LAL @ GSW,2022-10-19 02:00:00+00:00,LAL,3000.0
PG,Scotty Pippen Jr. + 1176798,Scotty Pippen Jr.,1176798,LAL @ GSW,2022-10-19 02:00:00+00:00,LAL,3000.0
SF,Max Christie + 1340703,Max Christie,1340703,LAL @ GSW,2022-10-19 02:00:00+00:00,LAL,3000.0
SF,Matt Ryan + 880463,Matt Ryan,880463,LAL @ GSW,2022-10-19 02:00:00+00:00,LAL,3000.0
SF,Troy Brown Jr. + 1082704,Troy Brown Jr.,1082704,LAL @ GSW,2022-10-19 02:00:00+00:00,LAL,3000.0
