Position,Name + ID,Name,ID,Game,Time,TeamAbbrev,Salary
C,Olivier Sarr + 1060956,Olivier Sarr,1060956,POR @ GSW,2022-10-12 02:00:00+00:00,POR,4300.0
PF,Patrick Baldwin Jr. + 1324451,Patrick Baldwin Jr.,1324451,POR @ GSW,2022-10-12 02:00:00+00:00,GSW,4300.0
SF,Ochai Agbaji + 1132831,Ochai Agbaji,1132831,SAS @ UTA,2022-10-12 01:00:00+00:00,UTA,4300.0
SG/SF,Romeo Langford + 1138654,Romeo Langford,1138654,SAS @ UTA,2022-10-12 01:00:00+00:00,SAS,4300.0
SF,Dominick Barlow + 1419291,Dominick Barlow,1419291,SAS @ UTA,2022-10-12 01:00:00+00:00,SAS,4300.0
SF,Anthony Lamb + 950331,Anthony Lamb,950331,POR @ GSW,2022-10-12 02:00:00+00:00,GSW,4200.0
PF,Jabari Walker + 1232517,Jabari Walker,1232517,POR @ GSW,2022-10-12 02:00:00+00:00,POR,4200.0
SF/PF,Jonathan Kuminga + 1271708,Jonathan Kuminga,1271708,POR @ GSW,2022-10-12 02:00:00+00:00,GSW,4200.0
PG,Jared Butler + 1134886,Jared Butler,1134886,SAS @ UTA,2022-10-12 01:00:00+00:00,UTA,4200.0
SF/PF,Jeremy Sochan + 1342728,Jeremy Sochan,1342728,SAS @ UTA,2022-10-12 01:00:00+00:00,SAS,4200.0
C,Kevon Looney + 846499,Kevon Looney,846499,POR @ GSW,2022-10-12 02:00:00+00:00,GSW,4100.0
SG/SF,Moses Moody + 1231366,Moses Moody,1231366,POR @ GSW,2022-10-12 02:00:00+00:00,GSW,4100.0
PG/SG,Shaedon Sharpe + 1371494,Shaedon Sharpe,1371494,POR @ GSW,2022-10-12 02:00:00+00:00,POR,4100.0
PF,Joe Wieskamp + 1141061,Joe Wieskamp,1141061,SAS @ UTA,2022-10-12 01:00:00+00:00,SAS,4100.0
PG,Leandro Bolmaro + 1257425,Leandro Bolmaro,1257425,SAS @ UTA,2022-10-12 01:00:00+00:00,UTA,4100.0
PF/C,JaMychal Green + 460833,JaMychal Green,460833,POR @ GSW,2022-10-12 02:00:00+00:00,GSW,4000.0
PG,Quinndary Weatherspoon + 886418,Quinndary Weatherspoon,886418,POR @ GSW,2022-10-12 02:00:00+00:00,GSW,4000.0
SF,Jerome Robinson + 893002,Jerome Robinson,893002,POR @ GSW,2022-10-12 02:00:00+00:00,GSW,4000.0
PG,Isaiah Miller + 1066709,Isaiah Miller,1066709,POR @ GSW,2022-10-12 02:00:00+00:00,POR,4000.0
PG,Lester Quinones + 1175110,Lester Quinones,1175110,POR @ GSW,2022-10-12 02:00:00+00:00,GSW,4000.0
C,Udoka Azubuike + 944169,Udoka Azubuike,944169,SAS @ UTA,2022-10-12 01:00:00+00:00,UTA,4000.0
PG/SG,Tommy Kuhse + 955997,Tommy Kuhse,955997,SAS @ UTA,2022-10-12 01:00:00+00:00,SAS,4000.0
PG,Jordan Hall + 1235098,Jordan Hall,1235098,SAS @ UTA,2022-10-12 01:00:00+00:00,SAS,4000.0
PG,Blake Wesley + 1325125,Blake Wesley,1325125,SAS @ UTA,2022-10-12 01:00:00+00:00,SAS,4000.0
