points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment
,,,,,,,,,,,,,,,,,,,,,DNP - Injury / Illness
,,,,,,,,,,,,,,,,,,,,,DNP - Injury/Illness
14.0,SF,17:26,6.0,6.0,100,0.0,0.0,0.0,2.0,2.0,100,0.0,3.0,3.0,2.0,2.0,0.0,2.0,1.0,11,
25.0,SF,24:56,9.0,14.0,64.3,4.0,4.0,100,3.0,4.0,75.0,1.0,4.0,5.0,3.0,4.0,2.0,2.0,0.0,19,
,,,,,,,,,,,,,,,,,,,,,DNP - Personal
20.0,SF,30:57,8.0,17.0,47.1,3.0,4.0,75.0,1.0,4.0,25.0,0.0,9.0,9.0,3.0,3.0,1.0,1.0,0.0,20,
10.0,SF,23:28,4.0,14.0,28.6,1.0,1.0,100,1.0,6.0,16.7,0.0,2.0,2.0,4.0,2.0,2.0,4.0,0.0,-26,
28.0,SF,35:00,9.0,17.0,52.9,8.0,9.0,88.9,2.0,7.0,28.6,0.0,2.0,2.0,3.0,0.0,2.0,6.0,0.0,-6,
27.0,SF,32:01,9.0,17.0,52.9,7.0,8.0,87.5,2.0,3.0,66.7,1.0,4.0,5.0,7.0,0.0,1.0,5.0,1.0,8,
16.0,SF,34:11,6.0,16.0,37.5,3.0,4.0,75.0,1.0,8.0,12.5,2.0,3.0,5.0,5.0,4.0,3.0,1.0,0.0,-4,
19.0,SF,33:09,8.0,21.0,38.1,1.0,1.0,100,2.0,7.0,28.6,0.0,5.0,5.0,5.0,4.0,3.0,4.0,0.0,-9,
,,,,,,,,,,,,,,,,,,,,,DNP - Injury/Illness
16.0,SF,30:05,4.0,12.0,33.3,6.0,7.0,85.7,2.0,6.0,33.3,0.0,5.0,5.0,6.0,2.0,0.0,0.0,1.0,13,
16.0,SF,31:58,5.0,13.0,38.5,3.0,3.0,100,3.0,8.0,37.5,0.0,8.0,8.0,4.0,1.0,0.0,3.0,0.0,12,
13.0,SF,30:11,4.0,9.0,44.4,2.0,4.0,50.0,3.0,5.0,60.0,0.0,5.0,5.0,8.0,2.0,0.0,1.0,0.0,5,
12.0,SF,20:11,4.0,6.0,66.7,3.0,3.0,100,1.0,3.0,33.3,0.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,20,
11.0,SF,28:07,5.0,17.0,29.4,0.0,0.0,0.0,1.0,4.0,25.0,1.0,8.0,9.0,4.0,0.0,2.0,3.0,0.0,1,
17.0,SF,30:37,5.0,11.0,45.5,3.0,3.0,100,4.0,9.0,44.4,0.0,5.0,5.0,7.0,2.0,1.0,6.0,0.0,6,
14.0,SF,29:35,6.0,13.0,46.2,1.0,1.0,100,1.0,5.0,20.0,0.0,5.0,5.0,5.0,3.0,2.0,3.0,0.0,14,
21.0,SF,32:53,6.0,18.0,33.3,5.0,5.0,100,4.0,8.0,50.0,1.0,5.0,6.0,5.0,3.0,0.0,1.0,0.0,4,
22.0,SF,35:08,8.0,20.0,40.0,4.0,5.0,80.0,2.0,5.0,40.0,1.0,7.0,8.0,2.0,1.0,0.0,3.0,1.0,2,
22.0,SF,29:39,9.0,18.0,50.0,1.0,1.0,100,3.0,8.0,37.5,1.0,5.0,6.0,9.0,2.0,0.0,4.0,0.0,14,
21.0,SF,35:55,7.0,16.0,43.8,7.0,8.0,87.5,0.0,4.0,0.0,0.0,3.0,3.0,8.0,3.0,0.0,3.0,0.0,12,
20.0,SF,35:08,5.0,13.0,38.5,6.0,6.0,100,4.0,8.0,50.0,3.0,3.0,6.0,4.0,4.0,0.0,6.0,0.0,-15,
21.0,SF,35:43,6.0,19.0,31.6,4.0,5.0,80.0,5.0,11.0,45.5,1.0,7.0,8.0,5.0,1.0,1.0,3.0,0.0,20,
24.0,PF,31:53,8.0,17.0,47.1,4.0,4.0,100,4.0,11.0,36.4,0.0,8.0,8.0,4.0,3.0,2.0,3.0,0.0,18,
4.0,SF,23:48,2.0,8.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,8.0,3.0,4.0,0.0,3.0,0.0,-13,
,,,,,,,,,,,,,,,,,,,,,DNP - Injury/Illness
,,,,,,,,,,,,,,,,,,,,,DND - Injury/Illness
23.0,SF,28:21,7.0,17.0,41.2,8.0,9.0,88.9,1.0,5.0,20.0,1.0,2.0,3.0,6.0,3.0,1.0,0.0,0.0,3,
26.0,PF,31:31,8.0,14.0,57.1,8.0,8.0,100,2.0,3.0,66.7,0.0,5.0,5.0,7.0,3.0,1.0,5.0,0.0,11,
17.0,SF,35:47,5.0,13.0,38.5,3.0,4.0,75.0,4.0,9.0,44.4,1.0,2.0,3.0,7.0,1.0,1.0,4.0,1.0,21,
21.0,SF,31:27,8.0,14.0,57.1,3.0,5.0,60.0,2.0,5.0,40.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,0.0,-12,
22.0,SF,32:55,6.0,15.0,40.0,7.0,7.0,100,3.0,7.0,42.9,0.0,3.0,3.0,6.0,4.0,1.0,1.0,0.0,7,
10.0,SF,27:50,3.0,10.0,30.0,3.0,3.0,100,1.0,6.0,16.7,1.0,5.0,6.0,2.0,2.0,0.0,2.0,0.0,-19,
25.0,SF,33:59,9.0,16.0,56.2,6.0,8.0,75.0,1.0,3.0,33.3,2.0,4.0,6.0,4.0,4.0,1.0,4.0,2.0,-8,
20.0,SF,30:02,6.0,15.0,40.0,3.0,3.0,100,5.0,9.0,55.6,0.0,6.0,6.0,5.0,2.0,2.0,2.0,0.0,16,
27.0,SF,37:00,9.0,17.0,52.9,5.0,5.0,100,4.0,6.0,66.7,1.0,9.0,10.0,9.0,4.0,0.0,6.0,0.0,14,
27.0,SF,36:45,10.0,19.0,52.6,4.0,4.0,100,3.0,7.0,42.9,2.0,5.0,7.0,11.0,3.0,3.0,7.0,0.0,-11,
23.0,PF,29:43,7.0,13.0,53.8,4.0,4.0,100,5.0,7.0,71.4,0.0,5.0,5.0,7.0,1.0,1.0,2.0,0.0,20,
16.0,SF,36:56,3.0,12.0,25.0,8.0,9.0,88.9,2.0,6.0,33.3,0.0,4.0,4.0,5.0,1.0,3.0,3.0,2.0,1,
