points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment
19.0,PG,18:15,6.0,8.0,75.0,2.0,2.0,100,5.0,7.0,71.4,0.0,4.0,4.0,2.0,1.0,0.0,2.0,0.0,-5,
12.0,PG,23:44,5.0,11.0,45.5,1.0,2.0,50.0,1.0,6.0,16.7,1.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0,-25,
,,,,,,,,,,,,,,,,,,,,,DNP - Rest
20.0,PG,40:15,8.0,24.0,33.3,4.0,5.0,80.0,0.0,9.0,0.0,0.0,6.0,6.0,11.0,3.0,1.0,1.0,0.0,-2,
19.0,PG,24:29,6.0,11.0,54.5,5.0,5.0,100,2.0,7.0,28.6,0.0,1.0,1.0,8.0,1.0,0.0,2.0,0.0,18,
12.0,PG,27:50,4.0,15.0,26.7,4.0,4.0,100,0.0,8.0,0.0,1.0,2.0,3.0,3.0,2.0,0.0,4.0,0.0,-22,
20.0,PG,32:14,6.0,22.0,27.3,4.0,4.0,100,4.0,11.0,36.4,0.0,3.0,3.0,10.0,0.0,1.0,2.0,0.0,16,
25.0,PG,34:09,9.0,17.0,52.9,2.0,2.0,100,5.0,7.0,71.4,1.0,3.0,4.0,6.0,3.0,1.0,6.0,0.0,9,
14.0,PG,37:47,5.0,20.0,25.0,2.0,2.0,100,2.0,14.0,14.3,0.0,4.0,4.0,12.0,3.0,0.0,2.0,0.0,-6,
20.0,PG,35:55,7.0,20.0,35.0,4.0,5.0,80.0,2.0,9.0,22.2,1.0,6.0,7.0,10.0,2.0,0.0,3.0,0.0,-14,
26.0,PG,39:46,10.0,27.0,37.0,3.0,5.0,60.0,3.0,12.0,25.0,0.0,3.0,3.0,8.0,2.0,2.0,1.0,0.0,5,
4.0,PG,37:56,2.0,13.0,15.4,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,4.0,11.0,1.0,1.0,2.0,1.0,-4,
25.0,PG,30:48,9.0,19.0,47.4,1.0,2.0,50.0,6.0,14.0,42.9,0.0,3.0,3.0,6.0,3.0,2.0,3.0,0.0,29,
27.0,PG,38:56,11.0,23.0,47.8,1.0,1.0,100,4.0,13.0,30.8,1.0,4.0,5.0,6.0,0.0,0.0,2.0,0.0,-5,
28.0,PG,38:03,12.0,23.0,52.2,3.0,4.0,75.0,1.0,4.0,25.0,0.0,7.0,7.0,7.0,0.0,0.0,2.0,0.0,-13,
20.0,PG,38:09,6.0,16.0,37.5,4.0,5.0,80.0,4.0,9.0,44.4,0.0,6.0,6.0,7.0,1.0,0.0,2.0,1.0,0,
24.0,PG,40:04,10.0,21.0,47.6,1.0,1.0,100,3.0,6.0,50.0,2.0,2.0,4.0,8.0,0.0,2.0,3.0,1.0,7,
22.0,PG,40:17,6.0,18.0,33.3,7.0,7.0,100,3.0,9.0,33.3,0.0,4.0,4.0,10.0,1.0,1.0,4.0,1.0,15,
39.0,PG,37:01,10.0,21.0,47.6,14.0,14.0,100,5.0,13.0,38.5,0.0,0.0,0.0,7.0,1.0,0.0,4.0,3.0,9,
25.0,PG,31:18,9.0,13.0,69.2,2.0,2.0,100,5.0,8.0,62.5,0.0,3.0,3.0,5.0,1.0,1.0,1.0,0.0,13,
32.0,PG,39:48,7.0,18.0,38.9,15.0,16.0,93.8,3.0,12.0,25.0,2.0,4.0,6.0,10.0,3.0,0.0,2.0,0.0,-1,
16.0,PG,38:00,5.0,15.0,33.3,4.0,4.0,100,2.0,7.0,28.6,0.0,0.0,0.0,6.0,1.0,1.0,4.0,0.0,-12,
11.0,PG,31:09,4.0,12.0,33.3,2.0,2.0,100,1.0,4.0,25.0,0.0,6.0,6.0,5.0,0.0,0.0,2.0,1.0,-11,
24.0,PG,36:59,5.0,17.0,29.4,11.0,15.0,73.3,3.0,14.0,21.4,3.0,8.0,11.0,6.0,0.0,0.0,5.0,0.0,-8,
31.0,PG,47:06,11.0,31.0,35.5,4.0,5.0,80.0,5.0,16.0,31.2,0.0,2.0,2.0,10.0,0.0,0.0,4.0,1.0,0,
21.0,PG,38:02,6.0,21.0,28.6,4.0,4.0,100,5.0,11.0,45.5,1.0,4.0,5.0,4.0,2.0,1.0,3.0,1.0,13,
43.0,PG,37:14,12.0,19.0,63.2,13.0,14.0,92.9,6.0,11.0,54.5,1.0,3.0,4.0,8.0,1.0,1.0,3.0,0.0,13,
32.0,PG,37:58,9.0,19.0,47.4,11.0,12.0,91.7,3.0,9.0,33.3,0.0,5.0,5.0,5.0,3.0,0.0,5.0,0.0,-7,
39.0,PG,39:55,13.0,24.0,54.2,7.0,8.0,87.5,6.0,11.0,54.5,0.0,2.0,2.0,7.0,0.0,1.0,1.0,0.0,-5,
26.0,PG,36:19,5.0,15.0,33.3,13.0,14.0,92.9,3.0,8.0,37.5,0.0,2.0,2.0,5.0,1.0,0.0,5.0,1.0,-28,
32.0,PG,36:36,10.0,23.0,43.5,7.0,10.0,70.0,5.0,14.0,35.7,0.0,6.0,6.0,4.0,0.0,1.0,2.0,0.0,-22,
18.0,PG,32:06,5.0,15.0,33.3,7.0,9.0,77.8,1.0,8.0,12.5,0.0,4.0,4.0,7.0,2.0,0.0,3.0,0.0,-17,
