points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment
13.0,SF,15:58,5.0,10.0,50.0,1.0,2.0,50.0,2.0,5.0,40.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,4,
4.0,SF,15:41,1.0,4.0,25.0,2.0,4.0,50.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,-1,
,,,,,,,,,,,,,,,,,,,,,DNP - Injury/Illness
12.0,SF,21:59,4.0,14.0,28.6,3.0,3.0,100,1.0,8.0,12.5,2.0,7.0,9.0,2.0,1.0,1.0,0.0,0.0,1,
8.0,SF,22:02,3.0,9.0,33.3,1.0,2.0,50.0,1.0,4.0,25.0,2.0,2.0,4.0,2.0,1.0,0.0,2.0,1.0,24,
12.0,SF,25:44,5.0,10.0,50.0,0.0,0.0,0.0,2.0,5.0,40.0,1.0,6.0,7.0,1.0,3.0,1.0,2.0,0.0,-5,
17.0,SF,30:45,6.0,15.0,40.0,2.0,2.0,100,3.0,6.0,50.0,3.0,3.0,6.0,3.0,1.0,1.0,2.0,1.0,-5,
17.0,SF,31:12,6.0,13.0,46.2,3.0,4.0,75.0,2.0,5.0,40.0,2.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,18,
21.0,SF,30:41,9.0,17.0,52.9,3.0,5.0,60.0,0.0,5.0,0.0,1.0,3.0,4.0,4.0,0.0,3.0,2.0,1.0,4,
16.0,SF,37:23,7.0,15.0,46.7,1.0,2.0,50.0,1.0,4.0,25.0,0.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,0,
14.0,SF,24:50,5.0,13.0,38.5,0.0,0.0,0.0,4.0,5.0,80.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,17,
14.0,SF,28:45,4.0,12.0,33.3,4.0,4.0,100,2.0,6.0,33.3,1.0,5.0,6.0,3.0,3.0,0.0,1.0,0.0,9,
16.0,SF,26:10,6.0,13.0,46.2,3.0,4.0,75.0,1.0,5.0,20.0,0.0,3.0,3.0,0.0,2.0,0.0,1.0,0.0,8,
16.0,SF,29:48,4.0,11.0,36.4,7.0,8.0,87.5,1.0,6.0,16.7,1.0,2.0,3.0,2.0,3.0,0.0,3.0,0.0,5,
13.0,SF,26:01,5.0,12.0,41.7,2.0,2.0,100,1.0,4.0,25.0,1.0,3.0,4.0,1.0,0.0,1.0,1.0,0.0,3,
35.0,SF,31:43,14.0,19.0,73.7,4.0,4.0,100,3.0,6.0,50.0,1.0,3.0,4.0,0.0,3.0,2.0,4.0,0.0,6,
15.0,SF,29:20,5.0,15.0,33.3,5.0,7.0,71.4,0.0,4.0,0.0,3.0,4.0,7.0,2.0,1.0,2.0,1.0,1.0,13,
28.0,PF,32:10,12.0,19.0,63.2,1.0,3.0,33.3,3.0,7.0,42.9,0.0,6.0,6.0,2.0,1.0,0.0,0.0,0.0,-4,
19.0,SF,22:08,7.0,11.0,63.6,3.0,3.0,100,2.0,3.0,66.7,0.0,2.0,2.0,1.0,4.0,0.0,3.0,1.0,10,
12.0,SF,24:09,5.0,11.0,45.5,2.0,2.0,100,0.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,-14,
27.0,SF,36:31,9.0,19.0,47.4,8.0,11.0,72.7,1.0,4.0,25.0,1.0,4.0,5.0,1.0,1.0,2.0,4.0,1.0,6,
32.0,SF,32:41,12.0,20.0,60.0,2.0,2.0,100,6.0,8.0,75.0,2.0,4.0,6.0,3.0,1.0,0.0,2.0,1.0,30,
19.0,SF,33:46,7.0,13.0,53.8,3.0,7.0,42.9,2.0,6.0,33.3,0.0,6.0,6.0,1.0,0.0,1.0,1.0,1.0,25,
25.0,SF,34:00,10.0,16.0,62.5,2.0,2.0,100,3.0,5.0,60.0,2.0,3.0,5.0,2.0,3.0,1.0,1.0,0.0,21,
12.0,SF,36:07,4.0,12.0,33.3,2.0,6.0,33.3,2.0,5.0,40.0,2.0,5.0,7.0,2.0,1.0,1.0,2.0,2.0,8,
10.0,SF,33:17,4.0,12.0,33.3,2.0,3.0,66.7,0.0,1.0,0.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,-7,
19.0,SF,29:53,8.0,16.0,50.0,0.0,0.0,0.0,3.0,7.0,42.9,1.0,4.0,5.0,2.0,4.0,0.0,2.0,0.0,24,
11.0,SF,30:55,3.0,9.0,33.3,3.0,4.0,75.0,2.0,3.0,66.7,2.0,2.0,4.0,1.0,0.0,0.0,1.0,1.0,-23,
28.0,SF,29:57,9.0,17.0,52.9,2.0,4.0,50.0,8.0,10.0,80.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,0.0,18,
14.0,SF,32:49,4.0,9.0,44.4,4.0,4.0,100,2.0,5.0,40.0,1.0,3.0,4.0,2.0,2.0,1.0,0.0,0.0,2,
20.0,SF,36:37,8.0,14.0,57.1,1.0,3.0,33.3,3.0,8.0,37.5,1.0,3.0,4.0,4.0,2.0,1.0,2.0,1.0,4,
15.0,SF,34:06,7.0,15.0,46.7,1.0,1.0,100,0.0,3.0,0.0,2.0,3.0,5.0,1.0,4.0,1.0,2.0,3.0,-6,
18.0,PF,33:41,6.0,13.0,46.2,3.0,6.0,50.0,3.0,6.0,50.0,1.0,5.0,6.0,3.0,1.0,0.0,2.0,0.0,4,
27.0,SF,36:04,11.0,20.0,55.0,0.0,0.0,0.0,5.0,7.0,71.4,3.0,3.0,6.0,2.0,4.0,1.0,0.0,1.0,13,
,,,,,,,,,,,,,,,,,,,,,NWT - Injury/Illness
21.0,SF,31:59,8.0,20.0,40.0,2.0,3.0,66.7,3.0,6.0,50.0,3.0,5.0,8.0,1.0,2.0,2.0,2.0,1.0,1,
