points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment
,,,,,,,,,,,,,,,,,,,,,DND - Rest
10.0,C,19:56,4.0,10.0,40.0,2.0,2.0,100,0.0,2.0,0.0,2.0,4.0,6.0,3.0,1.0,1.0,3.0,1.0,5,
14.0,C,8:08,6.0,8.0,75.0,1.0,1.0,100,1.0,1.0,100,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,12,
,,,,,,,,,,,,,,,,,,,,,NWT - Not With Team
22.0,C,25:42,8.0,17.0,47.1,4.0,6.0,66.7,2.0,3.0,66.7,1.0,5.0,6.0,5.0,3.0,1.0,1.0,1.0,4,
19.0,C,29:43,6.0,15.0,40.0,5.0,6.0,83.3,2.0,5.0,40.0,2.0,6.0,8.0,4.0,4.0,2.0,3.0,4.0,-4,
22.0,C,33:16,8.0,15.0,53.3,4.0,6.0,66.7,2.0,5.0,40.0,1.0,8.0,9.0,6.0,2.0,1.0,0.0,3.0,10,
14.0,C,30:25,2.0,7.0,28.6,10.0,11.0,90.9,0.0,2.0,0.0,1.0,5.0,6.0,3.0,1.0,1.0,5.0,1.0,-8,
30.0,C,30:58,8.0,19.0,42.1,13.0,15.0,86.7,1.0,4.0,25.0,5.0,13.0,18.0,3.0,2.0,1.0,4.0,0.0,14,
19.0,C,29:43,5.0,13.0,38.5,8.0,9.0,88.9,1.0,4.0,25.0,0.0,5.0,5.0,2.0,1.0,0.0,2.0,1.0,21,
18.0,C,34:04,6.0,18.0,33.3,5.0,9.0,55.6,1.0,5.0,20.0,1.0,8.0,9.0,7.0,3.0,1.0,4.0,1.0,10,
19.0,C,30:02,6.0,15.0,40.0,7.0,8.0,87.5,0.0,0.0,0.0,4.0,5.0,9.0,3.0,3.0,1.0,2.0,0.0,-9,
30.0,C,34:02,11.0,19.0,57.9,4.0,7.0,57.1,4.0,5.0,80.0,1.0,14.0,15.0,3.0,1.0,0.0,6.0,2.0,16,
42.0,C,45:26,12.0,23.0,52.2,16.0,21.0,76.2,2.0,4.0,50.0,2.0,12.0,14.0,3.0,4.0,1.0,4.0,2.0,11,
16.0,C,29:45,4.0,16.0,25.0,7.0,10.0,70.0,1.0,2.0,50.0,4.0,9.0,13.0,5.0,4.0,0.0,3.0,2.0,1,
13.0,C,33:14,3.0,17.0,17.6,6.0,10.0,60.0,1.0,3.0,33.3,4.0,14.0,18.0,6.0,1.0,2.0,0.0,3.0,-9,
