points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment
13,C,23:51,5,10,50.0,2,4,50.0,1,2,50.0,5,5,10,2,6,1,4,3,-9,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
5,,13:11,2,4,50.0,1,4,25.0,0,0,0.0,3,5,8,3,5,1,2,1,3,
9,,18:15,3,7,42.9,3,4,75.0,0,1,0.0,4,2,6,3,3,1,2,1,0,
10,,17:34,3,6,50.0,4,4,100,0,0,0.0,0,5,5,2,1,0,2,1,-5,
15,C,24:52,5,11,45.5,5,6,83.3,0,2,0.0,6,6,12,1,4,1,2,3,-10,
11,,18:34,3,4,75.0,5,5,100,0,0,0.0,3,3,6,2,4,3,3,0,-8,
6,,17:47,3,5,60.0,0,1,0.0,0,2,0.0,1,3,4,1,4,1,6,2,14,
7,,19:26,1,5,20.0,5,6,83.3,0,1,0.0,0,4,4,4,5,3,1,1,-3,
5,,14:25,1,4,25.0,2,4,50.0,1,2,50.0,0,1,1,2,1,2,1,0,4,
14,,23:56,5,12,41.7,3,4,75.0,1,1,100,2,3,5,0,3,3,1,0,-8,
11,,20:15,3,7,42.9,5,6,83.3,0,1,0.0,2,5,7,2,3,3,4,0,-3,
6,C,25:45,3,7,42.9,0,0,0.0,0,1,0.0,2,2,4,4,4,1,5,0,-2,
10,C,22:33,4,10,40.0,1,2,50.0,1,2,50.0,1,3,4,5,5,1,2,0,-19,
9,,13:53,3,4,75.0,2,2,100,1,1,100,0,4,4,3,4,0,0,1,8,
12,,16:26,3,4,75.0,5,12,41.7,1,1,100,1,4,5,1,1,0,3,1,-4,
12,,18:40,4,6,66.7,3,4,75.0,1,1,100,1,3,4,0,2,0,1,1,-18,
10,,21:37,4,6,66.7,2,3,66.7,0,1,0.0,2,8,10,4,2,0,2,1,-1,
9,,17:44,3,9,33.3,3,5,60.0,0,2,0.0,3,2,5,1,3,1,0,1,-22,
0,,5:02,0,2,0.0,0,0,0.0,0,0,0.0,2,0,2,0,0,0,1,0,-5,
10,,23:33,4,8,50.0,1,2,50.0,1,1,100,2,4,6,3,3,0,0,0,7,
8,,20:52,3,6,50.0,2,2,100,0,1,0.0,1,5,6,7,5,2,2,0,9,
13,,16:11,4,7,57.1,3,5,60.0,2,3,66.7,1,3,4,2,3,1,1,0,7,
5,,12:20,2,3,66.7,1,2,50.0,0,1,0.0,2,3,5,4,2,0,4,2,-13,
4,,17:06,2,3,66.7,0,0,0.0,0,0,0.0,1,4,5,3,2,1,1,0,-11,
5,,13:24,2,4,50.0,1,1,100,0,0,0.0,0,2,2,4,4,1,0,2,-6,
13,,18:33,3,6,50.0,6,7,85.7,1,3,33.3,1,2,3,5,1,0,1,1,4,
10,,16:59,3,7,42.9,4,4,100,0,2,0.0,3,1,4,1,5,1,1,1,2,
6,,14:22,2,5,40.0,2,2,100,0,1,0.0,1,1,2,1,2,0,0,0,4,
15,,15:54,6,8,75.0,3,6,50.0,0,0,0.0,2,3,5,0,4,1,1,0,11,
15,,22:36,5,8,62.5,5,5,100,0,0,0.0,2,4,6,6,4,1,3,3,3,
11,,24:47,4,10,40.0,3,4,75.0,0,2,0.0,3,3,6,4,5,1,1,2,15,
19,,27:34,7,14,50.0,5,6,83.3,0,2,0.0,4,7,11,5,1,2,2,1,-12,
1,,15:24,0,3,0.0,1,2,50.0,0,2,0.0,0,2,2,1,3,0,4,2,-23,
9,,22:06,3,8,37.5,3,3,100,0,2,0.0,4,1,5,4,4,0,1,2,13,
8,,19:17,3,5,60.0,1,2,50.0,1,1,100,2,3,5,2,3,1,5,0,-10,
10,,23:48,4,6,66.7,2,4,50.0,0,0,0.0,3,5,8,4,2,0,4,0,-23,
10,,20:17,5,10,50.0,0,0,0.0,0,1,0.0,4,4,8,3,3,1,1,2,-16,
5,,21:10,2,5,40.0,1,2,50.0,0,0,0.0,3,3,6,3,5,0,4,2,-12,
10,,15:18,5,8,62.5,0,1,0.0,0,0,0.0,1,1,2,0,4,0,1,1,2,
6,,6:37,1,1,100,3,4,75.0,1,1,100,0,1,1,1,2,0,1,1,-11,
9,,13:45,4,6,66.7,1,2,50.0,0,2,0.0,2,2,4,2,2,0,2,1,-10,
6,,14:46,2,4,50.0,2,3,66.7,0,1,0.0,0,0,0,2,0,0,3,1,3,
7,,15:56,2,6,33.3,2,2,100,1,1,100,1,1,2,2,2,0,2,1,2,
5,,14:17,2,7,28.6,1,2,50.0,0,2,0.0,2,4,6,2,0,0,2,0,1,
14,,23:40,5,13,38.5,4,6,66.7,0,2,0.0,3,2,5,1,1,1,3,3,-11,
4,,11:26,1,2,50.0,2,2,100,0,0,0.0,1,2,3,0,2,1,1,0,-11,
2,,12:25,0,2,0.0,2,4,50.0,0,0,0.0,1,3,4,1,2,0,3,0,0,
9,,24:32,2,4,50.0,5,6,83.3,0,0,0.0,2,6,8,3,3,0,4,1,20,
18,,28:42,7,15,46.7,3,3,100,1,4,25.0,2,0,2,1,4,1,2,3,-16,
5,C,25:28,2,6,33.3,0,0,0.0,1,5,20.0,2,4,6,4,5,1,0,2,-9,
11,C,28:26,5,10,50.0,1,2,50.0,0,2,0.0,2,7,9,2,4,0,4,2,-9,
0,,20:34,0,3,0.0,0,2,0.0,0,0,0.0,2,2,4,4,3,0,2,1,-22,
9,,16:28,3,6,50.0,3,5,60.0,0,2,0.0,1,2,3,2,3,1,2,0,-17,
19,C,28:18,7,11,63.6,2,2,100,3,4,75.0,2,12,14,3,4,2,1,1,11,
4,,14:26,2,5,40.0,0,0,0.0,0,1,0.0,1,2,3,4,1,0,3,1,-16,
6,,18:21,2,5,40.0,2,2,100,0,1,0.0,2,4,6,4,2,1,4,2,-7,
15,,16:20,5,8,62.5,4,6,66.7,1,3,33.3,1,2,3,0,2,0,2,0,-4,
13,,21:39,6,15,40.0,0,0,0.0,1,3,33.3,3,6,9,1,2,2,1,2,0,
5,,17:52,0,6,0.0,5,6,83.3,0,4,0.0,1,3,4,1,6,2,1,0,-2,
11,,22:14,5,10,50.0,1,4,25.0,0,3,0.0,2,8,10,1,2,1,1,1,-14,
