points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment
6.0,SG,21:19,2.0,9.0,22.2,1.0,2.0,50.0,1.0,5.0,20.0,0.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,12,
8.0,SG,25:54,3.0,12.0,25.0,2.0,3.0,66.7,0.0,5.0,0.0,2.0,7.0,9.0,2.0,3.0,0.0,1.0,0.0,-14,
13.0,SG,26:53,4.0,10.0,40.0,4.0,4.0,100,1.0,4.0,25.0,0.0,4.0,4.0,5.0,2.0,0.0,0.0,0.0,8,
7.0,PG,26:44,2.0,11.0,18.2,2.0,2.0,100,1.0,6.0,16.7,0.0,3.0,3.0,3.0,1.0,0.0,2.0,2.0,3,
20.0,SG,28:58,8.0,14.0,57.1,1.0,2.0,50.0,3.0,7.0,42.9,0.0,4.0,4.0,6.0,4.0,2.0,2.0,1.0,7,
16.0,SG,29:58,6.0,11.0,54.5,1.0,3.0,33.3,3.0,4.0,75.0,0.0,4.0,4.0,4.0,2.0,1.0,0.0,0.0,9,
16.0,SG,36:44,5.0,13.0,38.5,4.0,4.0,100,2.0,7.0,28.6,0.0,2.0,2.0,8.0,1.0,2.0,2.0,2.0,1,
14.0,SG,31:14,6.0,12.0,50.0,1.0,1.0,100,1.0,5.0,20.0,0.0,2.0,2.0,8.0,4.0,4.0,2.0,1.0,-4,
7.0,SG,31:45,3.0,10.0,30.0,0.0,0.0,0.0,1.0,6.0,16.7,0.0,5.0,5.0,6.0,2.0,1.0,3.0,1.0,-22,
9.0,SG,32:52,4.0,11.0,36.4,1.0,1.0,100,0.0,3.0,0.0,0.0,1.0,1.0,7.0,2.0,1.0,3.0,2.0,-2,
17.0,SG,33:27,6.0,12.0,50.0,2.0,6.0,33.3,3.0,8.0,37.5,0.0,2.0,2.0,4.0,1.0,0.0,1.0,1.0,-2,
13.0,SG,26:32,4.0,10.0,40.0,2.0,2.0,100,3.0,5.0,60.0,0.0,2.0,2.0,7.0,2.0,0.0,0.0,0.0,-23,
19.0,SG,36:14,6.0,10.0,60.0,6.0,6.0,100,1.0,2.0,50.0,1.0,2.0,3.0,3.0,4.0,1.0,3.0,1.0,4,
12.0,SG,33:11,4.0,14.0,28.6,2.0,2.0,100,2.0,6.0,33.3,1.0,9.0,10.0,4.0,1.0,0.0,2.0,1.0,10,
0.0,PG,26:33,0.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,3.0,5.0,2.0,1.0,0.0,1.0,-14,
2.0,SG,29:41,1.0,6.0,16.7,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,4.0,6.0,3.0,2.0,1.0,1.0,12,
