points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment
0.0,,0:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
10.0,PG,21:15,5.0,11.0,45.5,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,4.0,0.0,-15,
14.0,,21:02,6.0,9.0,66.7,1.0,1.0,100,1.0,1.0,100,0.0,0.0,0.0,5.0,4.0,0.0,1.0,0.0,22,
,,,,,,,,,,,,,,,,,,,,,DND - Injury/Illness
16.0,PG,23:10,7.0,16.0,43.8,0.0,0.0,0.0,2.0,6.0,33.3,2.0,3.0,5.0,3.0,1.0,1.0,2.0,0.0,-20,
20.0,PG,33:40,8.0,14.0,57.1,2.0,2.0,100,2.0,3.0,66.7,0.0,7.0,7.0,5.0,2.0,0.0,1.0,0.0,23,
15.0,PG,36:15,7.0,17.0,41.2,0.0,0.0,0.0,1.0,5.0,20.0,0.0,2.0,2.0,2.0,3.0,1.0,0.0,0.0,-9,
14.0,PG,34:03,4.0,13.0,30.8,6.0,7.0,85.7,0.0,4.0,0.0,3.0,2.0,5.0,2.0,5.0,0.0,3.0,1.0,-3,
7.0,PG,30:12,3.0,9.0,33.3,1.0,1.0,100,0.0,3.0,0.0,0.0,2.0,2.0,3.0,2.0,1.0,2.0,0.0,-9,
16.0,PG,31:02,6.0,8.0,75.0,2.0,2.0,100,2.0,2.0,100,0.0,6.0,6.0,6.0,2.0,0.0,4.0,2.0,19,
16.0,PG,25:07,6.0,8.0,75.0,3.0,3.0,100,1.0,2.0,50.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,1.0,14,
10.0,PG,30:18,4.0,8.0,50.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,1.0,3.0,0.0,11,
14.0,PG,37:00,5.0,10.0,50.0,4.0,6.0,66.7,0.0,0.0,0.0,0.0,1.0,1.0,6.0,2.0,0.0,0.0,0.0,4,
20.0,PG,44:41,8.0,12.0,66.7,2.0,2.0,100,2.0,4.0,50.0,0.0,4.0,4.0,5.0,2.0,2.0,1.0,0.0,3,
10.0,PG,44:13,5.0,9.0,55.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,8.0,1.0,1.0,1.0,1.0,3,
16.0,PG,39:16,6.0,19.0,31.6,1.0,2.0,50.0,3.0,6.0,50.0,1.0,8.0,9.0,5.0,3.0,2.0,0.0,1.0,5,
31.0,PG,38:59,12.0,24.0,50.0,3.0,3.0,100,4.0,9.0,44.4,1.0,4.0,5.0,4.0,2.0,1.0,0.0,1.0,-8,
33.0,PG,39:41,12.0,19.0,63.2,8.0,8.0,100,1.0,3.0,33.3,0.0,4.0,4.0,5.0,2.0,1.0,2.0,2.0,-9,
24.0,SG,42:56,10.0,15.0,66.7,1.0,1.0,100,3.0,4.0,75.0,1.0,1.0,2.0,3.0,5.0,0.0,1.0,0.0,-4,
16.0,PG,28:53,7.0,14.0,50.0,0.0,0.0,0.0,2.0,4.0,50.0,0.0,4.0,4.0,2.0,1.0,0.0,1.0,0.0,-13,
22.0,PG,34:48,9.0,15.0,60.0,2.0,4.0,50.0,2.0,3.0,66.7,0.0,5.0,5.0,4.0,0.0,1.0,0.0,1.0,2,
28.0,PG,35:11,9.0,17.0,52.9,9.0,9.0,100,1.0,4.0,25.0,0.0,3.0,3.0,9.0,3.0,2.0,0.0,0.0,-4,
24.0,PG,35:01,8.0,22.0,36.4,8.0,8.0,100,0.0,4.0,0.0,0.0,1.0,1.0,4.0,3.0,2.0,0.0,0.0,7,
19.0,SG,33:06,5.0,15.0,33.3,9.0,10.0,90.0,0.0,1.0,0.0,0.0,3.0,3.0,5.0,2.0,0.0,2.0,1.0,-9,
15.0,PG,43:30,5.0,15.0,33.3,4.0,5.0,80.0,1.0,3.0,33.3,0.0,4.0,4.0,9.0,5.0,0.0,4.0,1.0,7,
9.0,PG,31:38,2.0,12.0,16.7,4.0,4.0,100,1.0,4.0,25.0,1.0,7.0,8.0,9.0,3.0,0.0,0.0,1.0,0,
6.0,PG,32:54,3.0,13.0,23.1,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,6.0,1.0,1.0,0.0,0.0,0.0,-9,
11.0,PG,32:38,4.0,10.0,40.0,3.0,3.0,100,0.0,1.0,0.0,1.0,2.0,3.0,5.0,2.0,1.0,0.0,1.0,4,
6.0,PG,26:05,2.0,5.0,40.0,1.0,1.0,100,1.0,3.0,33.3,0.0,2.0,2.0,3.0,3.0,0.0,3.0,0.0,0,
11.0,PG,25:42,5.0,10.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,0.0,-16,
14.0,PG,29:40,5.0,10.0,50.0,2.0,4.0,50.0,2.0,4.0,50.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,-11,
23.0,PG,30:12,9.0,17.0,52.9,3.0,3.0,100,2.0,5.0,40.0,0.0,0.0,0.0,7.0,3.0,1.0,3.0,0.0,-23,
27.0,PG,41:52,11.0,15.0,73.3,3.0,3.0,100,2.0,5.0,40.0,0.0,3.0,3.0,5.0,3.0,0.0,2.0,1.0,1,
,,,,,,,,,,,,,,,,,,,,,DND - Injury/Illness
,,,,,,,,,,,,,,,,,,,,,DND - Injury/Illness
17.0,,33:30,7.0,16.0,43.8,2.0,3.0,66.7,1.0,5.0,20.0,0.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,9,
13.0,SG,33:21,5.0,11.0,45.5,2.0,2.0,100,1.0,2.0,50.0,0.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,31,
