points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment
13.0,,21:33,6.0,10.0,60.0,0.0,0.0,0.0,1.0,3.0,33.3,3.0,7.0,10.0,1.0,2.0,0.0,1.0,4.0,11,
7.0,C,11:56,3.0,6.0,50.0,0.0,0.0,0.0,1.0,3.0,33.3,2.0,1.0,3.0,1.0,6.0,0.0,1.0,1.0,-11,
16.0,C,27:06,6.0,10.0,60.0,2.0,4.0,50.0,2.0,4.0,50.0,1.0,9.0,10.0,0.0,0.0,1.0,1.0,5.0,2,
10.0,C,22:09,3.0,7.0,42.9,3.0,4.0,75.0,1.0,2.0,50.0,2.0,3.0,5.0,0.0,1.0,0.0,2.0,5.0,-7,
18.0,C,27:15,6.0,8.0,75.0,3.0,4.0,75.0,3.0,4.0,75.0,3.0,1.0,4.0,4.0,5.0,1.0,3.0,4.0,1,
15.0,C,33:51,6.0,9.0,66.7,0.0,0.0,0.0,3.0,5.0,60.0,0.0,10.0,10.0,1.0,1.0,1.0,1.0,2.0,-8,
10.0,C,33:50,3.0,11.0,27.3,4.0,8.0,50.0,0.0,5.0,0.0,4.0,9.0,13.0,2.0,4.0,0.0,4.0,0.0,-8,
11.0,C,28:13,4.0,8.0,50.0,2.0,2.0,100,1.0,4.0,25.0,2.0,3.0,5.0,0.0,4.0,2.0,1.0,1.0,-18,
14.0,C,31:41,5.0,9.0,55.6,2.0,2.0,100,2.0,4.0,50.0,5.0,5.0,10.0,3.0,1.0,1.0,1.0,1.0,10,
14.0,C,39:26,6.0,14.0,42.9,0.0,2.0,0.0,2.0,5.0,40.0,3.0,15.0,18.0,5.0,0.0,0.0,3.0,3.0,10,
10.0,C,29:27,4.0,5.0,80.0,0.0,0.0,0.0,2.0,2.0,100,1.0,2.0,3.0,2.0,3.0,0.0,1.0,2.0,2,
8.0,C,33:54,3.0,7.0,42.9,2.0,2.0,100,0.0,3.0,0.0,4.0,6.0,10.0,1.0,5.0,0.0,4.0,4.0,4,
5.0,C,29:29,1.0,6.0,16.7,2.0,2.0,100,1.0,3.0,33.3,2.0,8.0,10.0,1.0,6.0,2.0,1.0,1.0,-18,
12.0,C,31:12,5.0,11.0,45.5,0.0,0.0,0.0,2.0,6.0,33.3,0.0,7.0,7.0,0.0,2.0,1.0,1.0,3.0,-11,
9.0,C,23:01,4.0,6.0,66.7,0.0,0.0,0.0,1.0,2.0,50.0,2.0,5.0,7.0,1.0,3.0,2.0,0.0,4.0,5,
14.0,C,29:01,5.0,11.0,45.5,2.0,2.0,100,2.0,4.0,50.0,3.0,6.0,9.0,2.0,1.0,1.0,0.0,1.0,-21,
14.0,C,26:18,6.0,17.0,35.3,0.0,0.0,0.0,2.0,9.0,22.2,6.0,11.0,17.0,3.0,2.0,1.0,2.0,3.0,-17,
5.0,C,30:20,2.0,10.0,20.0,0.0,0.0,0.0,1.0,6.0,16.7,2.0,6.0,8.0,4.0,5.0,3.0,0.0,2.0,-11,
12.0,C,31:49,6.0,13.0,46.2,0.0,0.0,0.0,0.0,4.0,0.0,6.0,6.0,12.0,2.0,3.0,0.0,1.0,2.0,3,
12.0,C,34:31,6.0,9.0,66.7,0.0,0.0,0.0,0.0,2.0,0.0,2.0,8.0,10.0,1.0,3.0,1.0,2.0,3.0,-1,
8.0,C,24:38,3.0,8.0,37.5,0.0,0.0,0.0,2.0,4.0,50.0,0.0,7.0,7.0,1.0,2.0,2.0,0.0,2.0,-23,
2.0,C,20:20,1.0,6.0,16.7,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,-39,
18.0,C,31:27,7.0,15.0,46.7,0.0,0.0,0.0,4.0,7.0,57.1,2.0,10.0,12.0,0.0,3.0,0.0,3.0,0.0,6,
4.0,C,23:25,2.0,6.0,33.3,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,6.0,2.0,1.0,0.0,2.0,1.0,-23,
,,,,,,,,,,,,,,,,,,,,,DNP - Injury/Illness
11.0,C,34:38,5.0,11.0,45.5,0.0,0.0,0.0,1.0,3.0,33.3,4.0,13.0,17.0,1.0,5.0,0.0,0.0,6.0,-8,
9.0,C,27:17,4.0,9.0,44.4,0.0,0.0,0.0,1.0,6.0,16.7,0.0,6.0,6.0,2.0,2.0,0.0,1.0,2.0,8,
15.0,C,30:50,6.0,8.0,75.0,1.0,1.0,100,2.0,3.0,66.7,0.0,6.0,6.0,3.0,2.0,2.0,2.0,3.0,11,
2.0,C,17:57,1.0,4.0,25.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,3.0,2.0,-5,
14.0,C,28:28,6.0,11.0,54.5,0.0,0.0,0.0,2.0,3.0,66.7,5.0,3.0,8.0,1.0,3.0,0.0,0.0,4.0,-12,
11.0,C,29:28,5.0,13.0,38.5,0.0,0.0,0.0,1.0,6.0,16.7,4.0,3.0,7.0,1.0,1.0,0.0,1.0,2.0,4,
2.0,C,12:24,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,2.0,-20,
6.0,C,18:02,2.0,6.0,33.3,0.0,0.0,0.0,2.0,2.0,100,0.0,7.0,7.0,0.0,0.0,1.0,0.0,0.0,-7,
3.0,C,22:30,1.0,5.0,20.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,7.0,7.0,0.0,2.0,0.0,0.0,0.0,-4,
19.0,C,28:07,8.0,12.0,66.7,1.0,1.0,100,2.0,5.0,40.0,3.0,5.0,8.0,1.0,5.0,2.0,2.0,2.0,-1,
5.0,C,28:56,2.0,7.0,28.6,0.0,0.0,0.0,1.0,4.0,25.0,3.0,4.0,7.0,2.0,2.0,0.0,0.0,4.0,1,
10.0,C,27:35,3.0,11.0,27.3,4.0,4.0,100,0.0,2.0,0.0,3.0,6.0,9.0,0.0,3.0,2.0,3.0,0.0,-12,
6.0,,17:19,3.0,9.0,33.3,0.0,0.0,0.0,0.0,4.0,0.0,2.0,4.0,6.0,2.0,5.0,0.0,2.0,2.0,-9,
5.0,,20:17,2.0,5.0,40.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,9.0,9.0,1.0,1.0,0.0,2.0,4.0,-16,
32.0,C,29:51,12.0,15.0,80.0,1.0,2.0,50.0,7.0,8.0,87.5,4.0,0.0,4.0,2.0,6.0,0.0,1.0,3.0,-15,
11.0,C,24:35,3.0,7.0,42.9,4.0,4.0,100,1.0,4.0,25.0,3.0,5.0,8.0,0.0,4.0,1.0,1.0,2.0,-26,
0.0,C,6:51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,4.0,0.0,2.0,0.0,-4,
10.0,C,25:58,4.0,10.0,40.0,2.0,4.0,50.0,0.0,4.0,0.0,3.0,5.0,8.0,1.0,1.0,0.0,1.0,1.0,0,
18.0,C,29:42,8.0,10.0,80.0,1.0,1.0,100,1.0,2.0,50.0,3.0,8.0,11.0,0.0,3.0,0.0,1.0,2.0,19,
10.0,C,24:00,4.0,6.0,66.7,0.0,0.0,0.0,2.0,4.0,50.0,1.0,6.0,7.0,0.0,0.0,0.0,1.0,0.0,5,
8.0,C,21:40,3.0,4.0,75.0,0.0,0.0,0.0,2.0,3.0,66.7,1.0,7.0,8.0,0.0,1.0,0.0,1.0,1.0,5,
7.0,C,15:18,2.0,4.0,50.0,3.0,3.0,100,0.0,2.0,0.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,2.0,-7,
3.0,C,19:46,1.0,6.0,16.7,0.0,0.0,0.0,1.0,3.0,33.3,1.0,2.0,3.0,2.0,2.0,0.0,0.0,3.0,-20,
8.0,C,26:32,2.0,9.0,22.2,4.0,4.0,100,0.0,4.0,0.0,2.0,8.0,10.0,1.0,3.0,0.0,2.0,2.0,-17,
13.0,C,19:12,6.0,8.0,75.0,0.0,0.0,0.0,1.0,3.0,33.3,2.0,7.0,9.0,2.0,3.0,2.0,0.0,0.0,-2,
16.0,C,31:12,6.0,13.0,46.2,2.0,2.0,100,2.0,6.0,33.3,4.0,4.0,8.0,2.0,1.0,0.0,2.0,2.0,-6,
6.0,C,23:04,2.0,4.0,50.0,0.0,0.0,0.0,2.0,2.0,100,0.0,7.0,7.0,1.0,2.0,0.0,0.0,0.0,-15,
2.0,C,11:14,1.0,4.0,25.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,1.0,0.0,-12,
11.0,C,26:33,5.0,10.0,50.0,0.0,0.0,0.0,1.0,4.0,25.0,3.0,6.0,9.0,1.0,2.0,0.0,1.0,1.0,0,
6.0,C,25:00,3.0,7.0,42.9,0.0,0.0,0.0,0.0,3.0,0.0,1.0,6.0,7.0,0.0,6.0,0.0,1.0,1.0,-12,
15.0,C,30:18,6.0,15.0,40.0,2.0,2.0,100,1.0,5.0,20.0,4.0,6.0,10.0,0.0,4.0,1.0,0.0,1.0,9,
19.0,C,33:58,8.0,9.0,88.9,1.0,1.0,100,2.0,2.0,100,4.0,8.0,12.0,0.0,2.0,1.0,0.0,1.0,7,
14.0,C,24:49,5.0,9.0,55.6,3.0,3.0,100,1.0,3.0,33.3,2.0,3.0,5.0,1.0,5.0,0.0,1.0,1.0,-1,
