points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment
2,,6:26,1,1,100,0,0,0.0,0,0,0.0,0,0,0,1,1,0,1,0,-10,
0,,5:14,0,1,0.0,0,0,0.0,0,1,0.0,1,1,2,0,0,0,0,0,-10,
2,,8:58,1,1,100,0,0,0.0,0,0,0.0,0,1,1,2,3,0,0,0,-1,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,1:56,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,1,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
4,,12:00,2,2,100,0,0,0.0,0,0,0.0,1,4,5,1,2,0,1,1,17,
2,,8:25,1,1,100,0,0,0.0,0,0,0.0,1,0,1,1,2,0,0,0,6,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
3,,1:48,1,1,100,0,0,0.0,1,1,100,1,0,1,0,0,0,0,0,5,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
6,,16:21,2,5,40.0,2,2,100,0,1,0.0,4,5,9,0,0,0,0,1,7,
0,,1:46,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
9,,18:22,3,5,60.0,3,5,60.0,0,0,0.0,3,2,5,2,4,0,0,0,6,
2,,4:34,1,1,100,0,2,0.0,0,0,0.0,0,0,0,0,0,0,1,0,-2,
6,,16:44,2,2,100,2,2,100,0,0,0.0,1,2,3,1,4,0,0,1,-6,
0,,2:29,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-6,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
5,,16:13,1,2,50.0,3,5,60.0,0,0,0.0,1,7,8,3,1,1,2,1,12,
0,,9:11,0,3,0.0,0,0,0.0,0,0,0.0,2,0,2,0,1,0,1,0,-13,
0,,3:30,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,2,0,0,0,-12,
6,,11:11,2,2,100,2,2,100,0,0,0.0,0,2,2,0,2,0,2,0,-14,
23,,19:29,9,15,60.0,3,3,100,2,2,100,4,4,8,1,1,0,1,2,1,
0,,21:28,0,1,0.0,0,0,0.0,0,0,0.0,1,3,4,0,0,1,3,2,-2,
2,,7:25,1,2,50.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,2,0,-5,
15,,27:04,6,8,75.0,3,3,100,0,2,0.0,3,3,6,1,4,1,1,1,-11,
9,,23:11,2,6,33.3,5,7,71.4,0,1,0.0,4,10,14,0,2,0,1,2,13,
6,,21:43,3,5,60.0,0,0,0.0,0,1,0.0,3,3,6,2,4,0,3,0,7,
10,,19:01,5,8,62.5,0,0,0.0,0,0,0.0,3,5,8,0,5,0,1,0,-3,
18,C,29:10,7,10,70.0,4,7,57.1,0,2,0.0,2,8,10,3,1,0,2,0,-8,
