points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment
17,,18:39,5,10,50.0,5,6,83.3,2,3,66.7,1,0,1,4,3,2,2,0,-8,
2,,14:57,1,3,33.3,0,0,0.0,0,1,0.0,0,4,4,2,0,0,4,0,-2,
4,,10:00,2,4,50.0,0,0,0.0,0,0,0.0,0,4,4,0,1,0,1,0,-10,
14,,23:12,6,10,60.0,1,2,50.0,1,3,33.3,1,6,7,4,4,1,1,0,-3,
0,,12:49,0,4,0.0,0,0,0.0,0,2,0.0,0,3,3,0,2,0,3,0,-9,
7,SG,25:05,2,6,33.3,2,2,100,1,3,33.3,1,1,2,2,1,0,0,2,-2,
11,,18:19,3,7,42.9,3,4,75.0,2,2,100,0,4,4,0,2,1,2,0,-5,
9,,18:46,4,6,66.7,0,0,0.0,1,2,50.0,0,2,2,3,3,0,3,1,11,
7,PG,24:20,3,6,50.0,0,0,0.0,1,2,50.0,0,0,0,4,1,0,0,0,9,
6,,11:35,2,3,66.7,1,1,100,1,1,100,0,0,0,0,1,0,0,0,2,
5,,13:45,2,2,100,0,0,0.0,1,1,100,0,1,1,2,2,0,1,0,12,
0,,5:08,0,2,0.0,0,0,0.0,0,1,0.0,0,0,0,0,0,0,0,0,-8,
6,,20:42,2,5,40.0,2,2,100,0,1,0.0,0,5,5,3,1,1,1,1,12,
7,,11:25,2,5,40.0,2,4,50.0,1,2,50.0,0,1,1,2,1,1,1,1,-1,
2,,13:33,1,3,33.3,0,0,0.0,0,0,0.0,1,1,2,3,3,0,0,0,-6,
11,PG,34:34,5,9,55.6,0,0,0.0,1,1,100,0,2,2,4,3,2,2,1,-8,
12,SG,26:40,6,11,54.5,0,0,0.0,0,2,0.0,1,3,4,1,4,1,1,0,-16,
3,,12:53,1,6,16.7,0,0,0.0,1,3,33.3,0,0,0,1,0,1,0,0,-1,
4,PG,29:12,2,7,28.6,0,0,0.0,0,1,0.0,0,0,0,5,3,1,4,0,-9,
4,,11:15,2,6,33.3,0,0,0.0,0,3,0.0,0,1,1,0,0,1,1,0,-1,
5,,16:49,2,7,28.6,0,0,0.0,1,4,25.0,1,2,3,3,1,1,2,0,10,
4,,18:01,2,4,50.0,0,0,0.0,0,0,0.0,0,2,2,2,2,0,2,0,-6,
0,,10:48,0,2,0.0,0,0,0.0,0,2,0.0,0,0,0,0,1,0,0,1,-8,
7,PG,19:44,3,5,60.0,0,0,0.0,1,2,50.0,0,2,2,3,3,0,2,1,9,
4,,12:07,2,6,33.3,0,0,0.0,0,0,0.0,0,1,1,1,0,1,0,0,-6,
11,,21:01,4,6,66.7,2,2,100,1,1,100,0,2,2,4,1,0,0,0,11,
4,,9:21,2,2,100,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-14,
11,PG,21:23,5,9,55.6,1,2,50.0,0,1,0.0,0,1,1,5,4,3,1,0,-5,
2,,4:07,1,1,100,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,0,-6,
5,,11:10,2,2,100,1,1,100,0,0,0.0,0,0,0,0,0,0,0,0,-5,
18,,14:56,6,8,75.0,5,6,83.3,1,1,100,0,6,6,1,4,1,0,0,10,
2,,9:24,1,2,50.0,0,0,0.0,0,1,0.0,0,1,1,0,1,0,0,0,-10,
11,PG,18:49,5,10,50.0,0,0,0.0,1,3,33.3,0,3,3,1,4,1,2,0,-14,
2,,4:18,1,3,33.3,0,0,0.0,0,1,0.0,0,0,0,1,0,0,0,0,2,
16,PG,28:24,6,11,54.5,0,0,0.0,4,7,57.1,0,3,3,5,2,0,1,0,9,
8,SG,27:37,4,8,50.0,0,0,0.0,0,2,0.0,0,0,0,1,1,2,0,0,-23,
2,,13:28,1,4,25.0,0,0,0.0,0,0,0.0,0,1,1,5,0,1,1,0,14,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
10,,12:00,3,5,60.0,2,2,100,2,3,66.7,3,2,5,3,3,0,0,0,9,
0,,2:44,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,-2,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
2,,4:02,1,3,33.3,0,0,0.0,0,1,0.0,0,1,1,1,1,0,0,0,-5,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
3,,4:52,1,1,100,1,1,100,0,0,0.0,0,1,1,1,0,0,1,0,-1,
3,PG,19:18,1,5,20.0,0,0,0.0,1,4,25.0,0,1,1,2,2,1,2,1,-11,
2,SG,18:07,0,2,0.0,2,2,100,0,1,0.0,0,1,1,1,2,0,0,0,-8,
11,SG,22:14,5,10,50.0,1,2,50.0,0,2,0.0,1,0,1,3,0,1,1,0,-18,
14,SG,27:49,5,10,50.0,3,4,75.0,1,4,25.0,1,3,4,4,1,3,3,0,4,
10,,8:59,4,5,80.0,0,0,0.0,2,3,66.7,0,1,1,0,2,0,1,0,5,
3,,10:40,1,1,100,0,0,0.0,1,1,100,1,1,2,2,1,0,1,0,-1,
9,,20:00,4,7,57.1,0,0,0.0,1,2,50.0,0,3,3,6,1,1,2,0,11,
12,,24:58,5,5,100,0,0,0.0,2,2,100,0,2,2,5,2,1,1,0,16,
5,,21:03,2,9,22.2,1,2,50.0,0,0,0.0,0,1,1,3,0,1,2,0,-12,
9,,27:53,3,9,33.3,3,3,100,0,2,0.0,1,2,3,9,3,1,4,0,19,
10,,15:24,3,8,37.5,3,3,100,1,1,100,1,1,2,4,2,0,1,0,-7,
8,,17:46,4,7,57.1,0,0,0.0,0,0,0.0,1,2,3,4,1,2,1,0,-3,
11,,16:27,2,5,40.0,6,6,100,1,2,50.0,2,2,4,4,0,0,1,0,9,
5,,15:14,2,7,28.6,0,0,0.0,1,3,33.3,0,1,1,1,1,0,0,0,5,
7,,10:58,2,3,66.7,2,2,100,1,2,50.0,0,1,1,2,0,1,0,0,-10,
12,,24:02,4,9,44.4,3,3,100,1,3,33.3,1,3,4,5,2,4,1,0,-6,
2,,21:53,1,4,25.0,0,0,0.0,0,0,0.0,1,5,6,3,2,2,1,0,4,
0,,16:20,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,6,2,1,1,0,-6,
9,,6:08,2,2,100,4,4,100,1,1,100,0,1,1,1,1,1,1,0,1,
9,,22:48,4,10,40.0,0,0,0.0,1,1,100,2,3,5,7,1,1,3,0,13,
2,,9:03,1,2,50.0,0,0,0.0,0,1,0.0,1,2,3,1,0,0,1,0,-3,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
