points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment
1,,9:26,0,1,0.0,1,2,50.0,0,0,0.0,0,3,3,1,0,0,1,1,-1,
0,,8:40,0,3,0.0,0,0,0.0,0,1,0.0,0,1,1,1,0,1,0,0,4,
2,,15:43,1,3,33.3,0,0,0.0,0,1,0.0,0,2,2,1,1,0,1,0,-9,
0,,10:06,0,4,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,-17,
2,,23:15,1,5,20.0,0,0,0.0,0,0,0.0,2,3,5,0,2,0,1,0,-9,
8,,16:05,2,3,66.7,3,4,75.0,1,1,100,0,2,2,0,1,1,0,0,-2,
12,PF,42:53,5,10,50.0,0,0,0.0,2,4,50.0,1,5,6,0,5,0,0,0,11,
