points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment
3,,9:43,1,2,50.0,0,0,0.0,1,1,100,0,2,2,0,1,1,1,0,-3,
12,,15:31,4,8,50.0,2,2,100,2,4,50.0,0,3,3,0,0,0,1,1,-9,
4,SF,27:31,1,5,20.0,1,2,50.0,1,2,50.0,1,3,4,4,2,3,2,1,4,
4,C,26:57,1,3,33.3,2,2,100,0,2,0.0,1,5,6,3,4,1,2,0,-9,
15,PF,31:29,6,9,66.7,0,0,0.0,3,5,60.0,0,5,5,4,5,1,2,1,-5,
5,,10:23,2,3,66.7,0,0,0.0,1,1,100,0,1,1,1,1,0,1,1,-13,
18,,30:34,6,8,75.0,1,2,50.0,5,7,71.4,1,2,3,2,2,0,0,0,8,
9,,24:56,3,6,50.0,2,2,100,1,4,25.0,0,1,1,2,2,1,0,1,-5,
6,,15:40,0,2,0.0,6,6,100,0,1,0.0,0,0,0,0,2,0,0,0,-1,
6,PF,24:09,2,5,40.0,2,2,100,0,2,0.0,2,2,4,0,4,0,0,1,3,
0,,12:26,0,2,0.0,0,0,0.0,0,1,0.0,3,2,5,2,0,0,0,0,-2,
1,,7:11,0,1,0.0,1,2,50.0,0,1,0.0,0,1,1,0,0,0,0,0,3,
3,,12:22,1,3,33.3,0,0,0.0,1,3,33.3,0,2,2,0,0,0,2,0,-9,
0,,4:52,0,1,0.0,0,0,0.0,0,1,0.0,1,1,2,0,0,0,1,0,2,
2,,17:15,1,5,20.0,0,0,0.0,0,4,0.0,0,3,3,0,0,0,0,0,4,
4,,16:08,2,4,50.0,0,0,0.0,0,2,0.0,0,2,2,2,0,0,0,0,0,
11,PF,26:54,4,5,80.0,0,0,0.0,3,3,100,1,4,5,0,2,0,2,0,-16,
11,,23:31,4,7,57.1,0,0,0.0,3,6,50.0,0,4,4,1,2,1,0,0,10,
18,PF,30:11,6,12,50.0,3,3,100,3,8,37.5,2,4,6,0,4,0,0,0,-13,
5,PF,27:35,2,4,50.0,0,0,0.0,1,3,33.3,1,2,3,2,2,0,0,0,2,
14,PF,35:11,5,9,55.6,0,0,0.0,4,6,66.7,0,8,8,1,1,1,0,2,5,
2,,25:13,1,2,50.0,0,0,0.0,0,1,0.0,0,5,5,4,2,0,0,1,13,
8,PF,21:43,3,8,37.5,0,0,0.0,2,7,28.6,1,3,4,1,3,1,1,1,-16,
7,,27:22,3,4,75.0,0,0,0.0,1,2,50.0,2,3,5,1,3,0,0,3,18,
15,PF,27:46,4,7,57.1,4,4,100,3,4,75.0,0,5,5,1,2,1,2,1,-10,
3,,14:33,1,2,50.0,0,0,0.0,1,2,50.0,0,1,1,0,2,1,0,0,-4,
6,,26:57,2,3,66.7,0,0,0.0,2,3,66.7,0,1,1,3,5,0,2,0,9,
10,PF,32:47,4,9,44.4,1,1,100,1,4,25.0,1,3,4,1,2,1,0,2,16,
1,,13:34,0,2,0.0,1,2,50.0,0,1,0.0,0,1,1,0,2,0,2,1,-21,
5,,23:55,1,4,25.0,2,2,100,1,3,33.3,1,2,3,0,2,1,1,2,8,
7,,24:32,2,3,66.7,1,2,50.0,2,3,66.7,0,3,3,0,4,2,1,0,-5,
17,,28:36,5,7,71.4,2,2,100,5,7,71.4,0,7,7,1,3,0,1,0,8,
15,,27:47,4,7,57.1,4,4,100,3,5,60.0,2,4,6,1,1,1,3,0,5,
6,,20:32,2,6,33.3,0,0,0.0,2,3,66.7,4,1,5,1,3,1,2,0,0,
15,SF,34:46,6,11,54.5,3,3,100,0,3,0.0,1,3,4,1,2,1,0,1,15,
5,PF,38:53,1,5,20.0,2,2,100,1,5,20.0,3,3,6,0,6,2,3,0,-4,
2,,21:49,1,2,50.0,0,0,0.0,0,1,0.0,0,0,0,0,1,0,2,1,1,
0,,15:17,0,3,0.0,0,0,0.0,0,3,0.0,0,0,0,2,0,0,0,2,-10,
6,,21:41,2,5,40.0,0,0,0.0,2,5,40.0,2,1,3,1,2,0,0,2,9,
3,,26:23,1,6,16.7,0,0,0.0,1,4,25.0,0,1,1,1,1,2,0,0,-4,
3,,22:51,1,2,50.0,1,2,50.0,0,1,0.0,0,1,1,0,4,2,0,1,4,
5,,13:59,2,3,66.7,0,0,0.0,1,2,50.0,0,2,2,2,2,0,1,0,-4,
3,,14:25,1,2,50.0,0,0,0.0,1,2,50.0,0,1,1,1,1,0,0,0,-3,
