points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment
,,,,,,,,,,,,,,,,,,,,,DNP - Injury / Illness
,,,,,,,,,,,,,,,,,,,,,DNP - Injury/Illness
11.0,PG,17:26,4.0,6.0,66.7,2.0,2.0,100,1.0,2.0,50.0,0.0,4.0,4.0,4.0,1.0,0.0,1.0,0.0,11,
13.0,PG,24:41,6.0,10.0,60.0,0.0,0.0,0.0,1.0,1.0,100,2.0,2.0,4.0,5.0,1.0,2.0,2.0,0.0,16,
13.0,PG,28:37,6.0,12.0,50.0,0.0,0.0,0.0,1.0,4.0,25.0,0.0,6.0,6.0,8.0,0.0,2.0,1.0,1.0,2,
12.0,PG,17:43,5.0,7.0,71.4,0.0,0.0,0.0,2.0,4.0,50.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,17,
,,,,,,,,,,,,,,,,,,,,,DNP - Injury/Illness
16.0,PG,25:25,6.0,9.0,66.7,1.0,2.0,50.0,3.0,4.0,75.0,1.0,3.0,4.0,5.0,3.0,0.0,5.0,0.0,6,
,,,,,,,,,,,,,,,,,,,,,DNP - Injury/Illness
10.0,,20:19,3.0,8.0,37.5,3.0,4.0,75.0,1.0,3.0,33.3,0.0,4.0,4.0,3.0,2.0,0.0,5.0,0.0,-12,
14.0,SG,29:53,6.0,16.0,37.5,0.0,0.0,0.0,2.0,7.0,28.6,1.0,4.0,5.0,4.0,1.0,1.0,2.0,0.0,0,
8.0,PG,31:12,4.0,14.0,28.6,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,7.0,6.0,3.0,2.0,2.0,2.0,9,
18.0,PG,30:18,7.0,16.0,43.8,0.0,0.0,0.0,4.0,6.0,66.7,0.0,2.0,2.0,6.0,1.0,1.0,1.0,0.0,9,
17.0,SG,40:42,6.0,25.0,24.0,4.0,4.0,100,1.0,12.0,8.3,1.0,5.0,6.0,13.0,1.0,3.0,3.0,0.0,-9,
19.0,PG,35:14,8.0,17.0,47.1,2.0,2.0,100,1.0,4.0,25.0,0.0,1.0,1.0,8.0,2.0,2.0,4.0,1.0,-17,
8.0,PG,38:48,3.0,13.0,23.1,1.0,2.0,50.0,1.0,6.0,16.7,0.0,6.0,6.0,8.0,3.0,4.0,5.0,0.0,-4,
10.0,PG,35:51,4.0,11.0,36.4,1.0,2.0,50.0,1.0,4.0,25.0,0.0,2.0,2.0,4.0,2.0,3.0,2.0,0.0,7,
11.0,PG,30:10,4.0,12.0,33.3,1.0,2.0,50.0,2.0,3.0,66.7,2.0,3.0,5.0,5.0,3.0,1.0,3.0,1.0,15,
18.0,PG,23:25,8.0,14.0,57.1,0.0,2.0,0.0,2.0,5.0,40.0,1.0,5.0,6.0,4.0,2.0,2.0,0.0,0.0,37,
22.0,PG,34:27,8.0,16.0,50.0,3.0,3.0,100,3.0,7.0,42.9,0.0,8.0,8.0,6.0,3.0,0.0,3.0,1.0,29,
16.0,PG,33:27,7.0,10.0,70.0,1.0,2.0,50.0,1.0,3.0,33.3,1.0,4.0,5.0,6.0,0.0,0.0,2.0,1.0,28,
23.0,PG,31:00,11.0,21.0,52.4,0.0,0.0,0.0,1.0,7.0,14.3,2.0,5.0,7.0,9.0,1.0,1.0,1.0,0.0,23,
11.0,PG,37:47,5.0,11.0,45.5,0.0,0.0,0.0,1.0,3.0,33.3,0.0,4.0,4.0,7.0,3.0,2.0,1.0,1.0,-5,
26.0,PG,37:17,10.0,19.0,52.6,2.0,5.0,40.0,4.0,5.0,80.0,2.0,4.0,6.0,8.0,5.0,0.0,5.0,1.0,3,
16.0,PG,32:16,6.0,14.0,42.9,2.0,2.0,100,2.0,6.0,33.3,1.0,4.0,5.0,7.0,2.0,0.0,2.0,1.0,26,
20.0,PG,36:49,9.0,15.0,60.0,0.0,0.0,0.0,2.0,3.0,66.7,1.0,6.0,7.0,8.0,1.0,2.0,5.0,1.0,12,
27.0,PG,36:48,12.0,17.0,70.6,0.0,0.0,0.0,3.0,7.0,42.9,0.0,4.0,4.0,4.0,4.0,2.0,4.0,1.0,-11,
12.0,PG,35:07,3.0,8.0,37.5,6.0,6.0,100,0.0,2.0,0.0,1.0,2.0,3.0,7.0,4.0,1.0,2.0,1.0,10,
13.0,PG,34:13,6.0,11.0,54.5,0.0,0.0,0.0,1.0,2.0,50.0,2.0,2.0,4.0,5.0,0.0,1.0,2.0,0.0,6,
20.0,PG,33:04,8.0,16.0,50.0,2.0,3.0,66.7,2.0,3.0,66.7,0.0,0.0,0.0,8.0,0.0,3.0,0.0,0.0,-7,
26.0,PG,32:58,12.0,18.0,66.7,1.0,4.0,25.0,1.0,2.0,50.0,2.0,2.0,4.0,14.0,1.0,1.0,2.0,0.0,19,
40.0,PG,44:15,18.0,36.0,50.0,3.0,4.0,75.0,1.0,8.0,12.5,1.0,4.0,5.0,5.0,2.0,2.0,4.0,0.0,-2,
0.0,,0:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
24.0,PG,30:42,10.0,17.0,58.8,2.0,3.0,66.7,2.0,5.0,40.0,1.0,3.0,4.0,10.0,2.0,2.0,2.0,0.0,26,
24.0,PG,34:19,8.0,14.0,57.1,5.0,7.0,71.4,3.0,5.0,60.0,2.0,5.0,7.0,7.0,2.0,3.0,4.0,0.0,2,
17.0,PG,37:03,8.0,14.0,57.1,0.0,0.0,0.0,1.0,4.0,25.0,0.0,5.0,5.0,3.0,3.0,4.0,2.0,1.0,19,
18.0,PG,34:07,8.0,13.0,61.5,1.0,2.0,50.0,1.0,3.0,33.3,1.0,3.0,4.0,10.0,3.0,1.0,2.0,0.0,4,
25.0,PG,33:09,8.0,11.0,72.7,6.0,6.0,100,3.0,4.0,75.0,1.0,4.0,5.0,7.0,0.0,3.0,2.0,2.0,9,
21.0,PG,33:28,8.0,14.0,57.1,4.0,4.0,100,1.0,3.0,33.3,1.0,3.0,4.0,6.0,0.0,2.0,4.0,2.0,18,
29.0,PG,35:28,11.0,19.0,57.9,3.0,4.0,75.0,4.0,8.0,50.0,2.0,3.0,5.0,5.0,1.0,2.0,2.0,0.0,-4,
