points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment
9,PF,21:16,3,7,42.9,3,3,100,0,1,0.0,2,2,4,1,3,0,0,0,14,
9,PF,24:04,4,8,50.0,0,0,0.0,1,3,33.3,1,2,3,1,1,0,0,1,4,
8,,23:10,3,6,50.0,0,0,0.0,2,4,50.0,1,1,2,1,2,0,1,0,14,
6,PF,17:33,2,7,28.6,0,0,0.0,2,4,50.0,0,0,0,2,1,0,1,0,1,
16,PF,19:12,5,12,41.7,2,2,100,4,9,44.4,0,2,2,4,6,0,1,0,7,
12,PF,22:27,4,7,57.1,2,2,100,2,3,66.7,0,0,0,0,2,0,0,0,7,
5,PF,30:58,2,6,33.3,0,0,0.0,1,4,25.0,0,3,3,1,0,0,2,0,-6,
25,PF,32:26,9,13,69.2,0,0,0.0,7,11,63.6,0,4,4,2,0,0,0,0,-8,
4,PF,17:18,2,8,25.0,0,0,0.0,0,4,0.0,1,0,1,0,1,0,0,0,-14,
2,PF,25:48,1,2,50.0,0,0,0.0,0,0,0.0,0,1,1,1,6,1,2,0,-5,
10,PF,25:30,3,11,27.3,3,3,100,1,5,20.0,0,3,3,2,1,0,1,0,7,
10,PF,18:56,4,10,40.0,0,2,0.0,2,5,40.0,1,0,1,0,2,0,0,0,-9,
17,PF,26:41,6,12,50.0,1,2,50.0,4,6,66.7,0,3,3,2,1,0,0,0,8,
14,PF,24:11,5,7,71.4,0,0,0.0,4,5,80.0,0,2,2,3,1,0,1,0,-15,
8,PF,28:58,3,9,33.3,0,0,0.0,2,5,40.0,0,2,2,1,0,0,0,0,-7,
7,PF,28:55,3,10,30.0,0,0,0.0,1,4,25.0,1,2,3,2,0,1,1,0,0,
11,SF,24:38,5,10,50.0,0,0,0.0,1,5,20.0,2,2,4,0,1,0,1,0,-12,
16,SF,21:38,7,13,53.8,0,0,0.0,2,6,33.3,2,2,4,3,1,0,0,0,26,
13,SF,25:17,5,9,55.6,1,1,100,2,5,40.0,1,3,4,1,1,1,0,1,10,
14,PF,25:46,5,9,55.6,1,1,100,3,5,60.0,0,2,2,2,1,0,1,0,-9,
13,PF,25:13,5,11,45.5,0,0,0.0,3,7,42.9,0,0,0,3,3,0,1,0,-16,
17,PF,27:45,6,12,50.0,2,2,100,3,7,42.9,0,3,3,0,1,0,1,0,12,
0,PF,14:28,0,3,0.0,0,0,0.0,0,2,0.0,0,1,1,0,2,0,0,0,-24,
13,PF,29:49,6,11,54.5,0,0,0.0,1,4,25.0,0,4,4,1,2,0,1,0,12,
10,PF,22:00,4,12,33.3,0,0,0.0,2,8,25.0,1,0,1,2,2,1,1,0,-19,
11,PF,27:31,4,10,40.0,1,1,100,2,7,28.6,0,4,4,1,0,0,1,1,6,
16,PF,25:17,7,13,53.8,0,0,0.0,2,6,33.3,0,0,0,2,1,0,1,0,3,
13,PF,22:17,3,5,60.0,5,6,83.3,2,4,50.0,0,5,5,1,2,0,1,0,7,
13,PF,19:27,5,10,50.0,0,2,0.0,3,5,60.0,0,3,3,3,1,0,0,0,23,
17,PF,26:53,7,13,53.8,0,0,0.0,3,6,50.0,0,4,4,1,3,0,1,0,-8,
6,PF,19:55,2,7,28.6,0,0,0.0,2,5,40.0,1,5,6,1,1,0,2,0,4,
9,PF,24:40,3,13,23.1,0,0,0.0,3,6,50.0,1,1,2,0,2,1,4,0,-4,
4,PF,23:11,1,5,20.0,2,3,66.7,0,3,0.0,0,0,0,1,1,0,0,0,0,
15,PF,26:28,6,10,60.0,1,2,50.0,2,5,40.0,0,2,2,0,3,0,1,0,0,
20,PF,21:08,7,12,58.3,0,0,0.0,6,9,66.7,0,2,2,0,3,0,1,0,7,
7,PF,25:24,3,9,33.3,0,0,0.0,1,4,25.0,2,1,3,1,1,0,0,1,-14,
9,PF,27:43,4,9,44.4,0,0,0.0,1,5,20.0,0,1,1,1,2,2,1,0,-1,
15,PF,24:52,6,11,54.5,0,0,0.0,3,5,60.0,2,2,4,2,4,0,1,1,5,
6,PF,22:29,3,9,33.3,0,0,0.0,0,4,0.0,0,3,3,2,1,1,1,0,-1,
11,PF,22:38,4,9,44.4,0,0,0.0,3,7,42.9,0,1,1,1,0,0,0,0,3,
24,PF,28:18,9,15,60.0,0,0,0.0,6,9,66.7,0,4,4,2,1,1,0,0,-2,
10,PF,19:18,4,7,57.1,0,0,0.0,2,3,66.7,0,1,1,2,4,0,0,0,3,
19,PF,19:02,7,8,87.5,0,0,0.0,5,6,83.3,0,1,1,1,5,1,2,0,3,
4,PF,27:41,2,10,20.0,0,0,0.0,0,3,0.0,0,4,4,0,1,0,0,0,-22,
13,PF,25:42,5,8,62.5,0,0,0.0,3,5,60.0,0,3,3,1,2,2,2,0,22,
15,PF,23:31,4,10,40.0,3,3,100,4,8,50.0,0,2,2,0,1,0,1,0,13,
19,PF,29:26,7,11,63.6,2,2,100,3,5,60.0,0,4,4,1,1,0,1,0,-17,
16,SF,21:51,5,11,45.5,3,4,75.0,3,6,50.0,1,2,3,0,0,0,0,0,3,
12,SF,27:29,5,11,45.5,2,2,100,0,3,0.0,1,0,1,2,0,0,0,0,0,
4,SF,19:44,2,6,33.3,0,0,0.0,0,2,0.0,0,1,1,2,2,0,1,0,0,
14,SF,26:19,5,11,45.5,0,0,0.0,4,7,57.1,0,1,1,5,2,1,0,0,5,
4,PF,19:10,1,5,20.0,2,2,100,0,2,0.0,0,0,0,1,2,0,1,0,-9,
8,PF,22:53,2,7,28.6,3,3,100,1,5,20.0,1,3,4,1,2,1,0,0,5,
11,PF,27:39,4,6,66.7,1,3,33.3,2,4,50.0,0,0,0,3,1,0,4,2,-3,
7,PF,23:11,2,7,28.6,2,2,100,1,6,16.7,0,0,0,0,2,0,2,0,-10,
5,PF,3:21,1,2,50.0,3,3,100,0,0,0.0,0,0,0,0,0,0,1,0,3,
