points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment
2,,19:37,0,2,0.0,2,2,100,0,1,0.0,2,4,6,1,2,0,1,1,-4,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,2:26,0,1,0.0,0,0,0.0,0,1,0.0,0,1,1,1,0,0,0,0,0,
2,,3:58,1,1,100,0,0,0.0,0,0,0.0,1,0,1,0,1,1,2,0,-5,
4,,18:27,2,6,33.3,0,0,0.0,0,1,0.0,1,4,5,0,3,0,2,2,-3,
9,,13:29,4,7,57.1,0,0,0.0,1,1,100,1,1,2,0,3,2,0,1,8,
5,,23:34,2,8,25.0,0,0,0.0,1,1,100,3,3,6,0,4,1,1,1,12,
6,,16:21,2,7,28.6,1,2,50.0,1,5,20.0,0,4,4,1,0,0,1,2,0,
10,,30:03,5,12,41.7,0,1,0.0,0,2,0.0,2,7,9,1,6,1,0,2,18,
12,,28:00,5,11,45.5,1,2,50.0,1,2,50.0,2,7,9,2,4,3,1,0,-2,
14,,19:12,5,6,83.3,3,5,60.0,1,2,50.0,1,4,5,1,2,1,1,3,3,
5,,19:54,2,6,33.3,1,2,50.0,0,4,0.0,0,4,4,2,3,1,1,0,11,
12,,21:45,5,7,71.4,1,1,100,1,2,50.0,2,3,5,3,0,1,2,1,-15,
