points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment
0.0,,0:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
14.0,,21:56,5.0,10.0,50.0,0.0,0.0,0.0,4.0,8.0,50.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,8,
3.0,,20:50,1.0,5.0,20.0,0.0,0.0,0.0,1.0,5.0,20.0,0.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,9,
28.0,SG,35:52,9.0,18.0,50.0,4.0,5.0,80.0,6.0,11.0,54.5,2.0,3.0,5.0,2.0,3.0,2.0,2.0,0.0,-5,
8.0,,18:30,3.0,5.0,60.0,0.0,0.0,0.0,2.0,4.0,50.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,-9,
18.0,SG,30:15,6.0,14.0,42.9,1.0,1.0,100,5.0,9.0,55.6,0.0,9.0,9.0,1.0,2.0,0.0,2.0,0.0,-21,
10.0,,18:59,4.0,7.0,57.1,0.0,0.0,0.0,2.0,5.0,40.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,16,
5.0,,18:07,2.0,4.0,50.0,0.0,1.0,0.0,1.0,3.0,33.3,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,6,
5.0,,16:38,2.0,4.0,50.0,0.0,0.0,0.0,1.0,3.0,33.3,1.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,-3,
5.0,,19:39,2.0,6.0,33.3,0.0,0.0,0.0,1.0,4.0,25.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,12,
3.0,,12:52,1.0,6.0,16.7,0.0,0.0,0.0,1.0,5.0,20.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1,
6.0,,19:50,2.0,5.0,40.0,0.0,0.0,0.0,2.0,5.0,40.0,0.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0,22,
12.0,,16:30,4.0,7.0,57.1,1.0,2.0,50.0,3.0,4.0,75.0,0.0,5.0,5.0,1.0,0.0,1.0,1.0,0.0,7,
6.0,,17:03,2.0,8.0,25.0,0.0,0.0,0.0,2.0,8.0,25.0,1.0,3.0,4.0,0.0,0.0,1.0,2.0,0.0,-5,
3.0,,22:45,1.0,3.0,33.3,0.0,0.0,0.0,1.0,2.0,50.0,0.0,5.0,5.0,1.0,1.0,0.0,1.0,1.0,-6,
13.0,,22:02,5.0,10.0,50.0,0.0,0.0,0.0,3.0,5.0,60.0,1.0,5.0,6.0,0.0,1.0,0.0,0.0,0.0,-9,
15.0,,21:02,5.0,7.0,71.4,1.0,2.0,50.0,4.0,6.0,66.7,0.0,3.0,3.0,1.0,2.0,0.0,1.0,0.0,10,
3.0,,20:04,1.0,3.0,33.3,1.0,2.0,50.0,0.0,1.0,0.0,0.0,4.0,4.0,2.0,1.0,1.0,0.0,0.0,11,
2.0,,24:47,1.0,4.0,25.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,4.0,0.0,3.0,0.0,0.0,0.0,-2,
0.0,,0:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,,0:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
13.0,,30:47,4.0,11.0,36.4,4.0,5.0,80.0,1.0,7.0,14.3,0.0,4.0,4.0,0.0,2.0,2.0,1.0,0.0,1,
19.0,,30:43,6.0,12.0,50.0,1.0,1.0,100,6.0,12.0,50.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,-7,
