points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment
22,SF,28:46,7,19,36.8,6,6,100,2,9,22.2,0,3,3,2,4,1,7,0,-2,
20,SF,26:28,8,14,57.1,2,3,66.7,2,7,28.6,1,4,5,5,1,2,1,0,11,
11,,8:53,4,5,80.0,0,1,0.0,3,3,100,0,2,2,2,2,1,3,0,11,
12,,16:23,5,10,50.0,2,2,100,0,4,0.0,2,4,6,0,5,0,4,0,3,
8,,16:51,3,7,42.9,2,2,100,0,2,0.0,0,5,5,2,2,1,3,1,7,
7,,11:21,2,7,28.6,3,3,100,0,2,0.0,0,2,2,1,2,1,1,0,-15,
5,,8:22,1,3,33.3,2,2,100,1,1,100,1,0,1,1,0,2,1,0,17,
2,,5:49,1,3,33.3,0,0,0.0,0,1,0.0,0,2,2,0,1,1,1,0,4,
2,,0:32,1,1,100,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,2,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
4,,12:00,2,7,28.6,0,0,0.0,0,2,0.0,0,1,1,2,0,0,1,0,-11,
0,,1:25,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,4,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
2,,18:32,1,4,25.0,0,0,0.0,0,1,0.0,1,2,3,2,1,1,0,0,4,
2,,4:31,1,1,100,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,0,6,
0,,2:29,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,-4,
6,,15:04,2,6,33.3,2,4,50.0,0,1,0.0,0,1,1,0,2,2,1,0,-9,
2,,9:51,1,5,20.0,0,0,0.0,0,0,0.0,0,1,1,5,0,0,1,0,-2,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
8,,5:36,3,4,75.0,0,0,0.0,2,2,100,0,0,0,0,0,0,1,0,11,
0,,1:47,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,-2,
10,,15:47,3,8,37.5,3,3,100,1,2,50.0,2,3,5,1,4,0,1,0,-3,
0,,6:23,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,6,
0,,4:02,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0,0,0,0,0,0,-4,
18,,23:09,7,7,100,0,0,0.0,4,4,100,1,1,2,2,3,2,1,1,-2,
7,,13:23,3,6,50.0,0,0,0.0,1,3,33.3,2,1,3,0,0,3,3,0,1,
12,,21:29,5,9,55.6,0,0,0.0,2,4,50.0,1,1,2,2,2,0,2,0,-2,
6,,23:52,3,6,50.0,0,0,0.0,0,3,0.0,2,2,4,3,1,0,0,0,-4,
17,,27:24,5,11,45.5,6,10,60.0,1,4,25.0,0,1,1,4,2,1,4,0,-22,
14,,32:55,5,9,55.6,2,2,100,2,3,66.7,0,0,0,3,3,2,1,0,-10,
10,PF,27:46,4,6,66.7,0,0,0.0,2,3,66.7,0,4,4,7,1,1,5,0,-3,
10,,19:52,3,5,60.0,4,4,100,0,1,0.0,0,3,3,2,1,0,2,1,-8,
9,,22:23,3,8,37.5,2,2,100,1,4,25.0,2,3,5,4,4,0,2,0,-7,
2,,18:15,1,4,25.0,0,0,0.0,0,2,0.0,1,0,1,0,1,0,3,0,-9,
6,SF,20:37,2,7,28.6,1,2,50.0,1,4,25.0,0,0,0,2,1,0,3,0,-10,
14,,27:08,5,8,62.5,4,4,100,0,2,0.0,1,2,3,2,2,3,2,0,0,
7,,24:38,3,10,30.0,0,0,0.0,1,4,25.0,2,3,5,3,2,2,1,0,-9,
7,,23:18,2,10,20.0,2,2,100,1,5,20.0,1,1,2,1,2,1,3,1,-19,
13,,20:33,3,9,33.3,6,6,100,1,4,25.0,0,2,2,4,1,3,0,0,-2,
8,,14:11,4,5,80.0,0,0,0.0,0,1,0.0,1,3,4,1,0,0,1,0,-4,
7,,21:21,3,8,37.5,1,1,100,0,2,0.0,2,4,6,1,2,2,3,0,-6,
19,,26:44,8,13,61.5,1,2,50.0,2,4,50.0,2,1,3,4,1,2,3,0,-6,
13,,22:59,3,10,30.0,4,6,66.7,3,7,42.9,0,2,2,2,0,1,3,0,-2,
6,,16:07,3,5,60.0,0,0,0.0,0,0,0.0,1,2,3,1,3,0,2,2,0,
6,,18:04,3,6,50.0,0,0,0.0,0,1,0.0,1,1,2,2,0,1,3,0,-2,
0,,11:18,0,1,0.0,0,0,0.0,0,1,0.0,1,2,3,0,0,1,0,0,-6,
6,,17:06,3,7,42.9,0,0,0.0,0,1,0.0,2,1,3,1,0,1,0,0,-11,
8,,13:42,3,5,60.0,0,0,0.0,2,3,66.7,0,1,1,0,1,0,2,1,12,
13,,23:46,6,9,66.7,0,0,0.0,1,3,33.3,0,2,2,3,0,2,1,0,-2,
11,,19:40,5,9,55.6,0,1,0.0,1,4,25.0,0,2,2,3,1,0,0,0,-5,
13,,19:23,5,11,45.5,2,4,50.0,1,6,16.7,0,1,1,5,0,0,0,0,-6,
5,,12:13,2,4,50.0,0,1,0.0,1,1,100,1,1,2,0,1,0,0,0,11,
23,,29:25,7,13,53.8,7,8,87.5,2,5,40.0,2,3,5,4,3,3,1,0,-1,
12,,23:08,5,9,55.6,0,0,0.0,2,4,50.0,0,1,1,2,0,1,3,0,-4,
4,,16:45,2,8,25.0,0,0,0.0,0,3,0.0,1,0,1,1,3,2,3,0,-9,
6,,14:47,2,6,33.3,0,0,0.0,2,5,40.0,0,2,2,0,1,0,1,0,-13,
0,,9:30,0,3,0.0,0,0,0.0,0,2,0.0,1,0,1,0,0,0,0,0,-17,
2,,11:05,1,8,12.5,0,0,0.0,0,3,0.0,4,3,7,2,0,0,0,1,-7,
13,,26:24,5,12,41.7,2,2,100,1,4,25.0,1,3,4,4,4,3,2,0,-13,
0,,12:29,0,4,0.0,0,0,0.0,0,3,0.0,0,2,2,1,1,0,1,0,2,
0,,12:43,0,3,0.0,0,0,0.0,0,0,0.0,0,3,3,3,1,0,0,0,-3,
4,,22:02,2,8,25.0,0,0,0.0,0,3,0.0,0,5,5,5,0,3,2,0,-1,
4,,18:31,1,4,25.0,2,2,100,0,1,0.0,0,3,3,2,0,0,1,0,-3,
