points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment
13,PF,20:27,6,12,50.0,1,1,100,0,4,0.0,0,5,5,1,2,0,0,1,2,
14,PF,26:32,5,10,50.0,3,4,75.0,1,6,16.7,1,2,3,2,4,0,1,0,-25,
22,PF,30:45,8,16,50.0,2,2,100,4,8,50.0,1,9,10,6,1,0,1,2,6,
0,PF,12:02,0,3,0.0,0,0,0.0,0,0,0.0,1,0,1,0,1,0,0,0,-16,
13,PF,32:57,4,8,50.0,4,4,100,1,4,25.0,1,7,8,4,4,3,3,1,15,
30,PF,34:47,13,24,54.2,0,0,0.0,4,9,44.4,3,4,7,0,1,3,1,0,8,
32,PF,35:12,9,16,56.2,11,12,91.7,3,5,60.0,4,5,9,2,2,2,0,1,20,
25,PF,38:16,11,22,50.0,1,1,100,2,10,20.0,2,8,10,3,5,1,2,0,-10,
31,PF,35:03,11,21,52.4,4,5,80.0,5,10,50.0,1,5,6,0,2,0,3,1,-8,
22,PF,37:24,9,21,42.9,2,3,66.7,2,9,22.2,1,7,8,1,3,2,4,1,-6,
19,PF,34:22,6,12,50.0,4,5,80.0,3,7,42.9,0,6,6,9,4,0,0,1,22,
13,PF,35:57,4,18,22.2,4,4,100,1,7,14.3,2,7,9,8,2,3,3,2,5,
32,PF,37:35,12,22,54.5,3,4,75.0,5,9,55.6,1,8,9,2,1,2,0,2,-9,
10,PF,37:06,4,14,28.6,1,5,20.0,1,5,20.0,1,4,5,2,3,1,0,0,-30,
21,PF,36:41,7,19,36.8,5,6,83.3,2,6,33.3,1,3,4,6,4,2,0,1,-10,
19,PF,43:13,6,18,33.3,4,6,66.7,3,11,27.3,2,6,8,2,2,2,4,0,12,
10,PF,31:55,3,11,27.3,3,4,75.0,1,4,25.0,2,7,9,6,0,2,2,1,12,
24,PF,36:36,8,17,47.1,5,8,62.5,3,10,30.0,0,4,4,4,3,1,1,2,20,
22,PF,41:35,9,16,56.2,2,3,66.7,2,6,33.3,1,7,8,3,4,1,1,0,12,
17,PF,37:22,8,15,53.3,0,1,0.0,1,4,25.0,1,9,10,5,1,0,4,1,15,
14,PF,34:19,4,10,40.0,4,4,100,2,5,40.0,0,6,6,1,5,1,3,1,-9,
35,PF,38:27,15,28,53.6,3,5,60.0,2,9,22.2,4,6,10,3,5,0,1,0,-11,
6,PF,41:23,3,13,23.1,0,0,0.0,0,4,0.0,1,4,5,2,1,1,2,0,13,
11,PF,37:55,5,16,31.2,0,0,0.0,1,6,16.7,0,9,9,6,3,1,0,3,9,
18,PF,25:53,5,9,55.6,5,6,83.3,3,4,75.0,2,5,7,1,5,1,1,1,9,
