points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,PF,12:57,0,1,0.0,0,0,0.0,0,0,0.0,1,2,3,0,6,1,2,0,-1,
2,SF,21:57,1,6,16.7,0,0,0.0,0,4,0.0,0,1,1,1,1,0,2,0,-16,
15,PF,19:44,6,8,75.0,0,0,0.0,3,4,75.0,2,3,5,1,4,1,1,0,3,
4,PF,24:37,2,5,40.0,0,0,0.0,0,1,0.0,1,3,4,1,0,4,0,0,-4,
4,PF,25:31,2,3,66.7,0,0,0.0,0,1,0.0,0,4,4,1,3,4,1,2,26,
4,PF,27:19,2,7,28.6,0,0,0.0,0,2,0.0,3,3,6,0,4,0,1,2,2,
3,PF,32:32,1,5,20.0,0,0,0.0,1,4,25.0,1,1,2,0,0,1,0,2,3,
3,SF,31:59,1,3,33.3,0,0,0.0,1,3,33.3,1,10,11,2,4,0,2,1,12,
2,SF,24:30,1,6,16.7,0,0,0.0,0,4,0.0,1,3,4,1,4,0,1,0,-11,
5,SF,17:19,2,4,50.0,0,0,0.0,1,3,33.3,2,0,2,1,6,2,2,0,0,
5,PF,28:45,2,3,66.7,0,0,0.0,1,1,100,0,1,1,1,4,1,1,0,10,
5,SF,12:56,2,3,66.7,0,0,0.0,1,1,100,1,1,2,1,6,0,1,1,0,
11,PF,31:12,4,9,44.4,2,3,66.7,1,4,25.0,1,6,7,1,6,1,1,1,-10,
2,PF,14:23,1,5,20.0,0,0,0.0,0,1,0.0,0,1,1,0,5,1,0,0,-13,
9,,21:11,4,10,40.0,0,0,0.0,1,4,25.0,3,3,6,1,4,0,1,0,1,
15,,32:23,5,14,35.7,4,6,66.7,1,3,33.3,4,2,6,2,3,2,1,0,-17,
4,,30:04,2,5,40.0,0,0,0.0,0,2,0.0,3,0,3,2,5,0,0,0,2,
7,,20:01,3,5,60.0,0,1,0.0,1,1,100,1,2,3,0,0,1,2,0,4,
13,,31:23,6,8,75.0,0,0,0.0,1,2,50.0,3,3,6,1,1,1,0,1,4,
2,,16:45,1,3,33.3,0,0,0.0,0,1,0.0,0,3,3,0,6,2,0,0,4,
10,,30:05,4,7,57.1,0,0,0.0,2,4,50.0,2,6,8,2,1,1,1,1,7,
7,,24:22,3,7,42.9,0,0,0.0,1,3,33.3,2,2,4,0,5,1,2,0,6,
4,PF,21:32,2,7,28.6,0,0,0.0,0,4,0.0,3,3,6,0,3,0,2,1,-19,
8,,31:42,3,9,33.3,1,1,100,1,5,20.0,0,4,4,1,6,1,0,0,-4,
5,,21:56,2,9,22.2,0,0,0.0,1,3,33.3,3,1,4,0,3,1,2,0,-7,
5,,23:25,2,10,20.0,0,0,0.0,1,7,14.3,0,3,3,1,1,2,0,1,-22,
5,,21:33,1,4,25.0,3,3,100,0,1,0.0,0,2,2,1,3,0,1,0,-4,
10,,28:18,4,11,36.4,0,0,0.0,2,7,28.6,0,7,7,0,3,0,1,0,-17,
9,,23:27,3,9,33.3,0,0,0.0,3,6,50.0,1,5,6,1,4,3,0,0,-5,
8,,21:40,3,6,50.0,1,2,50.0,1,3,33.3,1,3,4,0,6,0,1,0,10,
12,,31:44,5,8,62.5,0,0,0.0,2,4,50.0,0,1,1,1,2,0,1,0,8,
11,PF,39:29,4,8,50.0,3,3,100,0,3,0.0,1,7,8,3,4,2,0,0,-7,
16,PF,36:38,7,18,38.9,1,1,100,1,6,16.7,3,6,9,7,4,1,4,1,-10,
17,PF,36:14,6,14,42.9,3,3,100,2,7,28.6,1,4,5,2,3,1,2,0,-10,
18,PF,35:38,7,11,63.6,3,3,100,1,5,20.0,2,4,6,0,1,1,1,5,3,
12,,33:29,5,11,45.5,1,1,100,1,4,25.0,1,5,6,0,3,0,1,0,-13,
7,,21:37,3,6,50.0,0,0,0.0,1,3,33.3,4,4,8,0,6,1,3,0,-8,
18,,28:58,7,10,70.0,0,0,0.0,4,5,80.0,1,2,3,3,2,0,1,0,18,
11,,21:24,5,12,41.7,0,1,0.0,1,4,25.0,2,1,3,2,0,0,0,0,-14,
9,PF,18:14,4,9,44.4,0,0,0.0,1,4,25.0,0,1,1,0,4,0,2,0,12,
7,SF,28:36,3,8,37.5,0,0,0.0,1,4,25.0,1,2,3,1,4,0,0,4,8,
9,,27:30,2,6,33.3,5,5,100,0,2,0.0,1,5,6,2,2,0,2,0,2,
4,,18:57,2,7,28.6,0,0,0.0,0,3,0.0,2,3,5,0,2,0,1,1,-14,
9,,21:14,4,12,33.3,0,0,0.0,1,5,20.0,0,2,2,1,3,2,3,2,27,
8,,19:13,3,8,37.5,2,4,50.0,0,5,0.0,0,3,3,0,4,1,1,2,-5,
4,,17:17,2,5,40.0,0,0,0.0,0,0,0.0,0,1,1,0,3,1,1,0,-20,
14,SF,27:19,6,11,54.5,0,0,0.0,2,5,40.0,2,2,4,1,1,0,0,1,-6,
3,SF,15:30,1,6,16.7,0,0,0.0,1,4,25.0,0,2,2,1,3,2,1,0,-5,
14,PF,32:59,5,8,62.5,1,2,50.0,3,5,60.0,1,3,4,1,1,1,1,1,-14,
4,PF,29:29,2,3,66.7,0,0,0.0,0,1,0.0,1,4,5,2,3,1,1,0,1,
22,,26:54,9,9,100,1,1,100,3,3,100,0,2,2,4,4,0,2,0,24,
4,SF,26:18,1,7,14.3,2,3,66.7,0,2,0.0,1,4,5,4,3,0,1,2,2,
10,PF,32:27,4,8,50.0,1,1,100,1,4,25.0,1,1,2,2,3,0,0,0,-3,
13,,24:33,5,8,62.5,0,0,0.0,3,4,75.0,0,4,4,0,0,0,1,3,4,
8,,20:37,3,9,33.3,0,0,0.0,2,4,50.0,0,4,4,1,4,0,0,0,16,
13,SF,32:35,5,8,62.5,0,0,0.0,3,6,50.0,0,4,4,3,5,1,0,0,-2,
9,,21:07,4,8,50.0,0,0,0.0,1,3,33.3,1,3,4,1,1,0,1,0,-5,
11,,30:10,4,6,66.7,3,3,100,0,1,0.0,0,2,2,0,4,1,0,1,10,
18,,37:27,7,14,50.0,3,4,75.0,1,6,16.7,2,3,5,3,3,4,2,2,7,
18,,30:18,6,13,46.2,5,6,83.3,1,7,14.3,2,5,7,1,3,1,3,1,-1,
7,,15:31,2,3,66.7,2,2,100,1,2,50.0,1,2,3,0,5,0,0,1,8,
10,,23:07,5,11,45.5,0,0,0.0,0,4,0.0,1,3,4,2,3,1,1,0,0,
17,,17:49,6,9,66.7,0,0,0.0,5,7,71.4,0,3,3,1,5,0,2,0,-5,
8,SF,23:08,3,8,37.5,1,1,100,1,4,25.0,1,3,4,1,5,0,1,1,5,
16,PF,22:49,6,12,50.0,1,2,50.0,3,7,42.9,0,1,1,2,4,2,2,1,0,
16,SF,37:11,6,13,46.2,1,2,50.0,3,7,42.9,2,7,9,0,3,0,1,2,14,
8,SF,25:34,2,9,22.2,3,3,100,1,5,20.0,2,3,5,1,2,0,2,2,19,
12,PF,25:25,5,8,62.5,0,0,0.0,2,4,50.0,1,5,6,2,3,1,0,0,15,
12,,32:03,6,9,66.7,0,0,0.0,0,1,0.0,0,3,3,1,2,0,1,3,-16,
14,PF,23:54,6,8,75.0,1,1,100,1,3,33.3,2,4,6,0,6,0,2,2,10,
11,PF,32:28,4,7,57.1,2,2,100,1,3,33.3,0,4,4,1,1,1,1,1,-2,
0,,14:32,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,1,1,0,0,0,-7,
10,,21:06,4,6,66.7,0,0,0.0,2,2,100,0,4,4,0,0,0,1,0,0,
8,,17:43,3,7,42.9,1,1,100,1,4,25.0,0,0,0,1,3,1,1,2,-6,
6,,22:30,2,6,33.3,1,2,50.0,1,2,50.0,1,2,3,1,5,2,0,0,9,
15,,25:25,5,6,83.3,3,4,75.0,2,3,66.7,4,3,7,2,5,1,2,3,19,
2,,21:06,1,7,14.3,0,0,0.0,0,4,0.0,0,1,1,0,2,0,0,3,-9,
8,,21:39,3,7,42.9,0,0,0.0,2,4,50.0,0,2,2,1,2,1,4,1,7,
4,,10:28,0,4,0.0,4,4,100,0,2,0.0,0,1,1,0,5,0,0,1,-1,
3,,17:45,1,1,100,0,0,0.0,1,1,100,0,2,2,1,3,0,0,2,13,
24,,33:27,8,9,88.9,3,4,75.0,5,6,83.3,1,3,4,0,1,0,0,1,-10,
