points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment
13,SF,17:20,6,9,66.7,0,0,0.0,1,1,100,4,4,8,0,2,2,0,4,30,
7,SF,18:10,2,2,100,3,3,100,0,0,0.0,0,6,6,1,1,2,0,1,24,
2,PF,15:26,1,3,33.3,0,0,0.0,0,0,0.0,1,3,4,1,1,1,0,1,-10,
3,,14:44,1,2,50.0,0,0,0.0,1,1,100,2,0,2,0,0,2,0,0,-9,
0,,14:49,0,1,0.0,0,0,0.0,0,1,0.0,0,3,3,1,0,0,0,0,-8,
10,,17:12,4,6,66.7,2,2,100,0,1,0.0,1,0,1,1,1,1,0,2,20,
10,,18:15,3,3,100,2,2,100,2,2,100,0,4,4,1,5,0,1,0,4,
2,,12:56,0,1,0.0,2,2,100,0,0,0.0,0,3,3,0,0,0,0,0,3,
5,,16:02,2,2,100,0,0,0.0,1,1,100,1,2,3,1,4,0,0,2,-10,
5,SF,22:02,2,2,100,1,2,50.0,0,0,0.0,1,1,2,0,3,1,0,0,-5,
6,SF,21:46,3,6,50.0,0,0,0.0,0,1,0.0,4,4,8,0,1,1,1,0,-14,
4,SF,23:20,2,6,33.3,0,0,0.0,0,0,0.0,3,4,7,0,1,2,0,0,-11,
2,SF,18:13,1,5,20.0,0,0,0.0,0,1,0.0,2,1,3,0,0,2,0,0,-7,
11,SF,28:54,5,11,45.5,0,0,0.0,1,3,33.3,2,5,7,2,3,3,1,0,13,
7,SF,21:11,3,5,60.0,0,0,0.0,1,3,33.3,1,2,3,2,2,0,1,0,15,
3,SF,16:11,1,5,20.0,1,2,50.0,0,3,0.0,0,4,4,0,3,0,1,0,-8,
9,,22:13,4,6,66.7,0,0,0.0,1,2,50.0,1,0,1,1,1,0,0,1,9,
2,,13:59,1,3,33.3,0,0,0.0,0,1,0.0,0,1,1,0,0,2,1,0,4,
6,,20:12,2,3,66.7,2,2,100,0,0,0.0,1,0,1,1,1,0,0,0,-1,
5,,22:20,1,3,33.3,2,2,100,1,1,100,6,3,9,1,4,1,2,1,20,
5,,15:54,1,2,50.0,3,4,75.0,0,0,0.0,1,8,9,0,4,0,1,0,-6,
3,,16:24,1,2,50.0,1,2,50.0,0,0,0.0,1,3,4,0,2,2,0,0,-7,
9,SG,26:50,4,6,66.7,0,0,0.0,1,1,100,4,2,6,1,3,2,2,1,0,
5,SF,23:21,2,7,28.6,0,0,0.0,1,2,50.0,1,7,8,0,2,1,4,0,13,
7,SF,17:12,2,4,50.0,2,4,50.0,1,2,50.0,0,1,1,1,2,0,1,0,-3,
4,SF,35:52,2,3,66.7,0,0,0.0,0,1,0.0,1,4,5,3,2,1,0,1,16,
4,PF,28:57,2,5,40.0,0,0,0.0,0,0,0.0,4,1,5,0,1,0,0,0,-3,
9,SF,34:41,3,9,33.3,2,2,100,1,2,50.0,5,1,6,2,3,1,0,1,7,
4,SF,26:40,2,5,40.0,0,0,0.0,0,2,0.0,0,3,3,4,5,0,0,0,7,
13,SF,28:12,4,4,100,4,4,100,1,1,100,0,4,4,1,0,0,1,0,5,
2,SF,29:22,1,2,50.0,0,0,0.0,0,1,0.0,1,5,6,0,3,0,0,1,17,
