points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment
6,C,14:24,2,4,50.0,2,5,40.0,0,0,0.0,1,5,6,0,0,0,0,0,-6,
8,,7:47,2,2,100,4,7,57.1,0,0,0.0,1,0,1,0,1,0,0,1,7,
10,,8:01,5,6,83.3,0,1,0.0,0,0,0.0,0,3,3,0,2,0,0,1,7,
6,,10:42,2,6,33.3,2,2,100,0,0,0.0,4,2,6,0,2,0,1,1,-5,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
3,,3:05,1,1,100,1,2,50.0,0,0,0.0,0,0,0,0,0,0,0,2,-1,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
1,,8:54,0,0,0.0,1,4,25.0,0,0,0.0,1,3,4,0,0,0,0,0,0,
0,,1:14,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,2,0,0,0,-2,
2,,1:44,1,1,100,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:45,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,1:50,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,4,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
2,C,10:59,1,2,50.0,0,0,0.0,0,0,0.0,0,2,2,0,4,1,2,0,2,
5,,3:45,2,2,100,1,2,50.0,0,0,0.0,1,0,1,0,1,0,2,0,-4,
2,,2:01,0,0,0.0,2,2,100,0,0,0.0,0,1,1,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
9,,12:09,1,4,25.0,7,8,87.5,0,0,0.0,4,3,7,0,2,1,0,2,1,
5,,9:07,2,3,66.7,1,1,100,0,0,0.0,0,1,1,0,1,0,0,0,7,
15,,20:20,5,6,83.3,5,8,62.5,0,0,0.0,2,4,6,0,2,1,2,2,9,
4,,8:57,1,3,33.3,2,2,100,0,0,0.0,2,4,6,0,0,0,0,0,10,
0,,3:31,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,2,0,0,0,-4,
4,,9:39,1,4,25.0,2,2,100,0,0,0.0,1,1,2,0,1,0,0,0,-9,
4,,2:32,2,2,100,0,0,0.0,0,0,0.0,0,0,0,0,2,0,0,0,1,
3,,8:49,1,1,100,1,2,50.0,0,0,0.0,0,5,5,0,0,0,1,0,4,
6,,10:32,3,5,60.0,0,0,0.0,0,0,0.0,0,2,2,0,4,0,0,0,-8,
6,,9:53,2,4,50.0,2,4,50.0,0,0,0.0,3,2,5,0,3,0,3,1,-3,
5,,9:35,2,3,66.7,1,2,50.0,0,0,0.0,0,5,5,0,1,0,1,0,9,
0,,0:57,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,
3,,7:43,1,2,50.0,1,2,50.0,0,0,0.0,0,3,3,0,0,0,0,0,-2,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
2,,11:02,1,3,33.3,0,2,0.0,0,0,0.0,0,5,5,0,2,0,2,1,-12,
0,,3:01,0,2,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,0,-1,
0,,3:07,0,2,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,3:30,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,1,0,
2,,2:29,1,1,100,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,2,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
8,,11:06,4,6,66.7,0,0,0.0,0,0,0.0,0,2,2,0,3,2,0,1,5,
0,,4:21,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,-7,
1,,6:53,0,5,0.0,1,4,25.0,0,0,0.0,5,0,5,0,0,1,0,1,0,
3,,4:41,1,1,100,1,3,33.3,0,0,0.0,0,1,1,0,0,0,0,0,3,
0,,1:35,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
4,,6:36,2,2,100,0,0,0.0,0,0,0.0,1,2,3,0,1,0,0,2,4,
12,C,21:01,5,5,100,2,4,50.0,0,0,0.0,1,8,9,0,3,0,1,0,-1,
15,C,26:25,5,7,71.4,5,6,83.3,0,0,0.0,4,9,13,0,3,0,1,1,-23,
16,C,30:02,7,10,70.0,2,2,100,0,0,0.0,3,10,13,0,3,0,0,1,7,
9,C,19:56,3,8,37.5,3,6,50.0,0,0,0.0,4,8,12,0,4,0,2,0,-12,
10,C,27:46,4,7,57.1,2,4,50.0,0,0,0.0,4,8,12,0,3,1,2,1,-12,
2,,3:19,1,1,100,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,
8,,9:26,4,5,80.0,0,0,0.0,0,0,0.0,1,1,2,0,3,0,0,0,-20,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
0,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,
