Position,Name + ID,Name,ID,Game,Time,TeamAbbrev,Salary
PG,TyTy Washington Jr. + 1340789,TyTy Washington Jr.,1340789,HOU @ MIA,2022-10-10 23:30:00+00:00,HOU,3200.0
SF/PF,Jalen McDaniels + 953063,Jalen McDaniels,953063,WAS @ CHA,2022-10-10 23:00:00+00:00,CHA,3200.0
PF/C,Isaiah Mobley + 1185352,Isaiah Mobley,1185352,PHI @ CLE,2022-10-10 23:00:00+00:00,CLE,3200.0
SG/SF,Landry Shamet + 893100,Landry Shamet,893100,PHX @ DEN,2022-10-11 01:00:00+00:00,PHX,3200.0
SF,Peyton Watson + 1326502,Peyton Watson,1326502,PHX @ DEN,2022-10-11 01:00:00+00:00,DEN,3200.0
SG,Damion Lee + 609081,Damion Lee,609081,PHX @ DEN,2022-10-11 01:00:00+00:00,PHX,3200.0
SF/PF,Moe Harkless + 609843,Moe Harkless,609843,HOU @ MIA,2022-10-10 23:30:00+00:00,HOU,3100.0
PG,Delon Wright + 744102,Delon Wright,744102,WAS @ CHA,2022-10-10 23:00:00+00:00,WAS,3100.0
C,Taj Gibson + 330057,Taj Gibson,330057,WAS @ CHA,2022-10-10 23:00:00+00:00,WAS,3100.0
SF,Bryce McGowens + 1324323,Bryce McGowens,1324323,WAS @ CHA,2022-10-10 23:00:00+00:00,CHA,3100.0
SF/PF,Danuel House Jr. + 692110,Danuel House Jr.,692110,PHI @ CLE,2022-10-10 23:00:00+00:00,PHI,3100.0
SF/PF,Dean Wade + 880677,Dean Wade,880677,PHI @ CLE,2022-10-10 23:00:00+00:00,CLE,3100.0
SG,Lamar Stevens + 950179,Lamar Stevens,950179,PHI @ CLE,2022-10-10 23:00:00+00:00,CLE,3100.0
C,Jock Landale + 850308,Jock Landale,850308,PHX @ DEN,2022-10-11 01:00:00+00:00,PHX,3100.0
PF/C,Zeke Nnaji + 1193676,Zeke Nnaji,1193676,PHX @ DEN,2022-10-11 01:00:00+00:00,DEN,3100.0
SG/SF,Davon Reed + 740382,Davon Reed,740382,PHX @ DEN,2022-10-11 01:00:00+00:00,DEN,3100.0
PG,Mychal Mulder + 891351,Mychal Mulder,891351,HOU @ MIA,2022-10-10 23:30:00+00:00,MIA,3000.0
C,Usman Garuba + 1318915,Usman Garuba,1318915,HOU @ MIA,2022-10-10 23:30:00+00:00,HOU,3000.0
SG,Marcus Garrett + 1060962,Marcus Garrett,1060962,HOU @ MIA,2022-10-10 23:30:00+00:00,MIA,3000.0
C,Udonis Haslem + 226806,Udonis Haslem,226806,HOU @ MIA,2022-10-10 23:30:00+00:00,MIA,3000.0
PF,Haywood Highsmith + 1083019,Haywood Highsmith,1083019,HOU @ MIA,2022-10-10 23:30:00+00:00,MIA,3000.0
PG,Dru Smith + 953243,Dru Smith,953243,HOU @ MIA,2022-10-10 23:30:00+00:00,MIA,3000.0
PF,Jamal Cain + 1060409,Jamal Cain,1060409,HOU @ MIA,2022-10-10 23:30:00+00:00,MIA,3000.0
PG/SG,Jamaree Bouyea + 1068236,Jamaree Bouyea,1068236,HOU @ MIA,2022-10-10 23:30:00+00:00,MIA,3000.0
SF/PF,Orlando Robinson + 1176770,Orlando Robinson,1176770,HOU @ MIA,2022-10-10 23:30:00+00:00,MIA,3000.0
PG,Daishen Nix + 1271709,Daishen Nix,1271709,HOU @ MIA,2022-10-10 23:30:00+00:00,HOU,3000.0
C,Boban Marjanovic + 553331,Boban Marjanovic,553331,HOU @ MIA,2022-10-10 23:30:00+00:00,HOU,3000.0
PF,Bruno Fernando + 1076674,Bruno Fernando,1076674,HOU @ MIA,2022-10-10 23:30:00+00:00,HOU,3000.0
PG,Trevor Hudgins + 1393610,Trevor Hudgins,1393610,HOU @ MIA,2022-10-10 23:30:00+00:00,HOU,3000.0
C,Willie Cauley-Stein + 699950,Willie Cauley-Stein,699950,HOU @ MIA,2022-10-10 23:30:00+00:00,HOU,3000.0
PF,Anthony Gill + 604290,Anthony Gill,604290,WAS @ CHA,2022-10-10 23:00:00+00:00,WAS,3000.0
PG/SG,James Bouknight + 1182632,James Bouknight,1182632,WAS @ CHA,2022-10-10 23:00:00+00:00,CHA,3000.0
C,Vernon Carey Jr. + 1174858,Vernon Carey Jr.,1174858,WAS @ CHA,2022-10-10 23:00:00+00:00,WAS,3000.0
C,Nick Richards + 1067853,Nick Richards,1067853,WAS @ CHA,2022-10-10 23:00:00+00:00,CHA,3000.0
PF/C,Isaiah Todd + 1271713,Isaiah Todd,1271713,WAS @ CHA,2022-10-10 23:00:00+00:00,WAS,3000.0
SG,Jordan Schakel + 1062275,Jordan Schakel,1062275,WAS @ CHA,2022-10-10 23:00:00+00:00,WAS,3000.0
PG,Jordan Goodwin + 1062104,Jordan Goodwin,1062104,WAS @ CHA,2022-10-10 23:00:00+00:00,WAS,3000.0
PF,JT Thor + 1251663,JT Thor,1251663,WAS @ CHA,2022-10-10 23:00:00+00:00,CHA,3000.0
C,Kai Jones + 1186771,Kai Jones,1186771,WAS @ CHA,2022-10-10 23:00:00+00:00,CHA,3000.0
SF,Xavier Sneed + 944187,Xavier Sneed,944187,WAS @ CHA,2022-10-10 23:00:00+00:00,CHA,3000.0
PG,Devon Dotson + 1132829,Devon Dotson,1132829,WAS @ CHA,2022-10-10 23:00:00+00:00,WAS,3000.0
PG,Quenton Jackson + 1195699,Quenton Jackson,1195699,WAS @ CHA,2022-10-10 23:00:00+00:00,WAS,3000.0
PF,Makur Maker + 1252425,Makur Maker,1252425,WAS @ CHA,2022-10-10 23:00:00+00:00,WAS,3000.0
PF,Anthony Duruji + 1062521,Anthony Duruji,1062521,WAS @ CHA,2022-10-10 23:00:00+00:00,CHA,3000.0
PG,Jalen Crutcher + 1076269,Jalen Crutcher,1076269,WAS @ CHA,2022-10-10 23:00:00+00:00,CHA,3000.0
SG/SF,Jaylen Sims + 1138072,Jaylen Sims,1138072,WAS @ CHA,2022-10-10 23:00:00+00:00,CHA,3000.0
SG,LiAngelo Ball + 1260997,LiAngelo Ball,1260997,WAS @ CHA,2022-10-10 23:00:00+00:00,CHA,3000.0
SF,Jamorko Pickett + 1076297,Jamorko Pickett,1076297,PHI @ CLE,2022-10-10 23:00:00+00:00,CLE,3000.0
C,Paul Reed + 1076238,Paul Reed,1076238,PHI @ CLE,2022-10-10 23:00:00+00:00,PHI,3000.0
SF,Dylan Windler + 895530,Dylan Windler,895530,PHI @ CLE,2022-10-10 23:00:00+00:00,CLE,3000.0
C,Charles Bassey + 1138669,Charles Bassey,1138669,PHI @ CLE,2022-10-10 23:00:00+00:00,PHI,3000.0
