PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,PF,Jarred Vanderbilt (24726953),Jarred Vanderbilt,24726953,PF/F/UTIL,4800,SAS@UTA 10/11/2022 09:00PM ET,UTA,22.55
,,,,,,,,,PG/SG,Joshua Primo (24727014),Joshua Primo,24727014,PG/SG/G/UTIL,4800,SAS@UTA 10/11/2022 09:00PM ET,SAS,12.45
,,,,,,,,,SF,Nassir Little (24726988),Nassir Little,24726988,SF/F/UTIL,4700,POR@GSW 10/11/2022 10:00PM ET,POR,21.86
,,,,,,,,,C,Kelly Olynyk (24726840),Kelly Olynyk,24726840,C/UTIL,4700,SAS@UTA 10/11/2022 09:00PM ET,UTA,21.13
,,,,,,,,,SF/PF,Keita Bates-Diop (24726879),Keita Bates-Diop,24726879,SF/PF/F/UTIL,4700,SAS@UTA 10/11/2022 09:00PM ET,SAS,12.60
,,,,,,,,,SG/SF,Keon Johnson (24727023),Keon Johnson,24727023,SG/SF/F/G/UTIL,4600,POR@GSW 10/11/2022 10:00PM ET,POR,15.03
,,,,,,,,,SF/PF,Doug McDermott (24726848),Doug McDermott,24726848,SF/PF/F/UTIL,4600,SAS@UTA 10/11/2022 09:00PM ET,SAS,17.42
,,,,,,,,,SF/PF,Andre Iguodala (24726813),Andre Iguodala,24726813,SF/PF/F/UTIL,4500,POR@GSW 10/11/2022 10:00PM ET,GSW,14.55
,,,,,,,,,SG,Wes Iwundu (24726867),Wes Iwundu,24726867,SG/G/UTIL,4500,POR@GSW 10/11/2022 10:00PM ET,POR,13.75
,,,,,,,,,PG/SG,Gary Payton II (24726888),Gary Payton II,24726888,PG/SG/G/UTIL,4500,POR@GSW 10/11/2022 10:00PM ET,POR,16.11
,,,,,,,,,PG,Ty Jerome (24726911),Ty Jerome,24726911,PG/G/UTIL,4500,POR@GSW 10/11/2022 10:00PM ET,GSW,14.16
,,,,,,,,,PF/C,Alize Johnson (24726925),Alize Johnson,24726925,PF/C/F/UTIL,4500,SAS@UTA 10/11/2022 09:00PM ET,SAS,5.86
,,,,,,,,,SF,Johnny Juzang (24727011),Johnny Juzang,24727011,SF/F/UTIL,4500,SAS@UTA 10/11/2022 09:00PM ET,UTA,0
,,,,,,,,,PG/SG,Donte DiVincenzo (24726904),Donte DiVincenzo,24726904,PG/SG/G/UTIL,4400,POR@GSW 10/11/2022 10:00PM ET,GSW,21.01
,,,,,,,,,SF,Jared Rhoden (24726978),Jared Rhoden,24726978,SF/F/UTIL,4400,POR@GSW 10/11/2022 10:00PM ET,POR,0
,,,,,,,,,SG,Pat Spencer (24727004),Pat Spencer,24727004,SG/G/UTIL,4400,POR@GSW 10/11/2022 10:00PM ET,GSW,0
,,,,,,,,,C,Greg Brown (24727040),Greg Brown,24727040,C/UTIL,4400,POR@GSW 10/11/2022 10:00PM ET,POR,11.20
,,,,,,,,,C,Walker Kessler (24727038),Walker Kessler,24727038,C/UTIL,4400,SAS@UTA 10/11/2022 09:00PM ET,UTA,0
,,,,,,,,,SG/SF,Malaki Branham (24727058),Malaki Branham,24727058,SG/SF/F/G/UTIL,4400,SAS@UTA 10/11/2022 09:00PM ET,SAS,0
,,,,,,,,,C,Olivier Sarr (24726937),Olivier Sarr,24726937,C/UTIL,4300,POR@GSW 10/11/2022 10:00PM ET,POR,15.31
,,,,,,,,,PF,Patrick Baldwin Jr. (24727052),Patrick Baldwin Jr.,24727052,PF/F/UTIL,4300,POR@GSW 10/11/2022 10:00PM ET,GSW,0
,,,,,,,,,SF,Ochai Agbaji (24726972),Ochai Agbaji,24726972,SF/F/UTIL,4300,SAS@UTA 10/11/2022 09:00PM ET,UTA,0
,,,,,,,,,SG/SF,Romeo Langford (24726991),Romeo Langford,24726991,SG/SF/F/G/UTIL,4300,SAS@UTA 10/11/2022 09:00PM ET,SAS,9.73
,,,,,,,,,SF,Dominick Barlow (24727071),Dominick Barlow,24727071,SF/F/UTIL,4300,SAS@UTA 10/11/2022 09:00PM ET,SAS,0
