PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,SF/PF,Lauri Markkanen (24725435),Lauri Markkanen,24725435,SF/PF/F/UTIL,5600,SAS@UTA 10/11/2022 09:00PM ET,UTA,27.26
,,,,,,,,,C,Marvin Bagley III (24725433),Marvin Bagley III,24725433,C/UTIL,5600,OKC@DET 10/11/2022 07:00PM ET,DET,22.90
,,,,,,,,,PF/C,Sandro Mamukelashvili (24725456),Sandro Mamukelashvili,24725456,PF/C/F/UTIL,5500,MIL@CHI 10/11/2022 08:00PM ET,MIL,8.06
,,,,,,,,,PG,Tyus Jones (24725445),Tyus Jones,24725445,PG/G/UTIL,5500,MEM@ORL 10/11/2022 07:00PM ET,MEM,20.80
,,,,,,,,,SF/PF,Chuma Okeke (24725448),Chuma Okeke,24725448,SF/PF/F/UTIL,5500,MEM@ORL 10/11/2022 07:00PM ET,ORL,21.84
,,,,,,,,,PF,Keldon Johnson (24725439),Keldon Johnson,24725439,PF/F/UTIL,5500,SAS@UTA 10/11/2022 09:00PM ET,SAS,30.26
,,,,,,,,,PG/SG,Collin Sexton (24725452),Collin Sexton,24725452,PG/SG/G/UTIL,5500,SAS@UTA 10/11/2022 09:00PM ET,UTA,24.14
,,,,,,,,,SF,Luguentz Dort (24725442),Luguentz Dort,24725442,SF/F/UTIL,5500,OKC@DET 10/11/2022 07:00PM ET,OKC,27.90
,,,,,,,,,PF/C,Draymond Green (24725460),Draymond Green,24725460,PF/C/F/UTIL,5400,POR@GSW 10/11/2022 10:00PM ET,GSW,30.44
,,,,,,,,,PG/SG,Brandon Williams (24725464),Brandon Williams,24725464,PG/SG/G/UTIL,5400,POR@GSW 10/11/2022 10:00PM ET,POR,25
,,,,,,,,,C,Steven Adams (24725468),Steven Adams,24725468,C/UTIL,5400,MEM@ORL 10/11/2022 07:00PM ET,MEM,26.29
,,,,,,,,,C,Cody Zeller (24725470),Cody Zeller,24725470,C/UTIL,5400,SAS@UTA 10/11/2022 09:00PM ET,UTA,12.88
,,,,,,,,,C,Tony Bradley (24725488),Tony Bradley,24725488,C/UTIL,5300,MIL@CHI 10/11/2022 08:00PM ET,CHI,9.15
,,,,,,,,,PG,Jevon Carter (24725490),Jevon Carter,24725490,PG/G/UTIL,5300,MIL@CHI 10/11/2022 08:00PM ET,MIL,9.39
,,,,,,,,,SF,Franz Wagner (24725477),Franz Wagner,24725477,SF/F/UTIL,5300,MEM@ORL 10/11/2022 07:00PM ET,ORL,27.65
,,,,,,,,,SG/SF,John Konchar (24725480),John Konchar,24725480,SG/SF/F/G/UTIL,5300,MEM@ORL 10/11/2022 07:00PM ET,MEM,14.06
,,,,,,,,,C,Jakob Poeltl (24725472),Jakob Poeltl,24725472,C/UTIL,5300,SAS@UTA 10/11/2022 09:00PM ET,SAS,33.90
,,,,,,,,,SF,Simone Fontecchio (24725485),Simone Fontecchio,24725485,SF/F/UTIL,5300,SAS@UTA 10/11/2022 09:00PM ET,UTA,0
,,,,,,,,,PF,Bojan Bogdanovic (24725474),Bojan Bogdanovic,24725474,PF/F/UTIL,5300,OKC@DET 10/11/2022 07:00PM ET,DET,27.49
,,,,,,,,,SF/PF,Derrick Jones Jr. (24725511),Derrick Jones Jr.,24725511,SF/PF/F/UTIL,5200,MIL@CHI 10/11/2022 08:00PM ET,CHI,12.25
,,,,,,,,,PF/C,Serge Ibaka (24725520),Serge Ibaka,24725520,PF/C/F/UTIL,5200,MIL@CHI 10/11/2022 08:00PM ET,MIL,14.35
,,,,,,,,,C,James Wiseman (24725515),James Wiseman,24725515,C/UTIL,5200,POR@GSW 10/11/2022 10:00PM ET,GSW,0
,,,,,,,,,PG/SG,R.J. Hampton (24725504),R.J. Hampton,24725504,PG/SG/G/UTIL,5200,MEM@ORL 10/11/2022 07:00PM ET,ORL,16.67
,,,,,,,,,PF,Brandon Clarke (24725517),Brandon Clarke,24725517,PF/F/UTIL,5200,MEM@ORL 10/11/2022 07:00PM ET,MEM,23.06
,,,,,,,,,PG,Tre Jones (24725497),Tre Jones,24725497,PG/G/UTIL,5200,SAS@UTA 10/11/2022 09:00PM ET,SAS,15.02
,,,,,,,,,PF,Stanley Johnson (24725508),Stanley Johnson,24725508,PF/F/UTIL,5200,SAS@UTA 10/11/2022 09:00PM ET,UTA,15.56
,,,,,,,,,PF/C,Darius Bazley (24725493),Darius Bazley,24725493,PF/C/F/UTIL,5200,OKC@DET 10/11/2022 07:00PM ET,OKC,24.59
,,,,,,,,,PF/C,Isaiah Stewart (24725500),Isaiah Stewart,24725500,PF/C/F/UTIL,5200,OKC@DET 10/11/2022 07:00PM ET,DET,23.47
,,,,,,,,,SF/PF,Javonte Green (24725546),Javonte Green,24725546,SF/PF/F/UTIL,5100,MIL@CHI 10/11/2022 08:00PM ET,CHI,16.41
